,headline,date,year exp,score,pros,cons,company,position,raw_reviews,Introvert_Extrovert,Intuition_Sensing,Thinking_Feeling,Judging_Perceiving,Innovative_Traditional,Personality,reviews,emotions,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,is_exclusive,is_open,exclusive_openness
452,Good benefit,2022-02-25,"Current Employee, more than 5 years",4,"great people, great compensation and culture",lots of politics and decision making complex,Procter and Gamble, Senior Market Manager,"great people, great compensation and culturelots of politics and decision making complex",Extrovert,Intuition,Thinking,Judging,traditional,ENJT,great people great compensation culturelots politics decision making complex,"{'Positive': 0, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",0,0,0,0,0,0,0,0,0,0,0,0,Open
453,Company with strong principles values and purpose.,2022-02-25,"Current Employee, more than 10 years",4,Good benefits and smart people,Always overloaded. Always get squeezed to deliver more savings.,Procter and Gamble, Product Supply Director,Good benefits and smart peopleAlways overloaded. Always get squeezed to deliver more savings.,Introvert,Intuition,Thinking,Judging,traditional,INJT,good benefits smart peoplealways overloaded always get squeezed deliver savings,"{'Positive': 3, 'Negative': 1, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 1, 'Surprise': 1, 'Trust': 2}",3,1,0,1,0,0,2,1,1,2,0,5,Open
454,Overall ok,2022-02-25,"Former Employee, less than 1 year",4,"Good management, big company, nice environment","Bad office facilities, totally nothing special",Procter and Gamble, Anonymous Employee,"Good management, big company, nice environmentBad office facilities, totally nothing special",Introvert,Intuition,Thinking,Judging,innovative,INJT,good management big company nice environmentbad office facilities totally nothing special,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",2,0,0,1,0,0,2,0,1,1,0,4,Open
455,now just an ordinary company - no more grow from within,2022-02-26,"Current Employee, more than 1 year",2,"decent salary, smart colleagues, decent benefits if you're expecting or have young kids.","never ending cost cutting, salary increments have been capped, removal of grow from within culture (so you can have external people hired in as your boss), less benefits if you're single/childless.
Changes mostly occurred in past 2-3 years, now it's just another profit-oriented company. Not worth working as hard as you need to - 12 hour days are common, and without any of Pros that were there prior, there's no real point to stay.",Procter and Gamble, PS Associate,"decent salary, smart colleagues, decent benefits if you're expecting or have young kids.never ending cost cutting, salary increments have been capped, removal of grow from within culture (so you can have external people hired in as your boss), less benefits if you're single/childless.
Changes mostly occurred in past 2-3 years, now it's just another profit-oriented company. Not worth working as hard as you need to - 12 hour days are common, and without any of Pros that were there prior, there's no real point to stay.",Extrovert,Intuition,Thinking,Judging,traditional,ENJT,decent salary smart colleagues decent benefits expecting young kidsnever ending cost cutting salary increments capped removal grow within culture so external people hired boss less benefits singlechildless changes mostly occurred past 23 years another profitoriented company worth working hard need  12 hour days common without pros prior theres real point stay,"{'Positive': 10, 'Negative': 0, 'Anger': 0, 'Anticipation': 5, 'Disgust': 0, 'Fear': 0, 'Joy': 3, 'Sadness': 0, 'Surprise': 2, 'Trust': 5}",10,0,0,5,0,0,3,0,2,5,0,13,Open
456,Great place to work,2022-02-21,"Current Employee, less than 1 year",4,"Good culture, great benefits, meaningful work",Too much red tape sometimes,Procter and Gamble, Purchasing Manager,"Good culture, great benefits, meaningful workToo much red tape sometimes",Extrovert,Intuition,Feeling,Perceiving,innovative,ENPF,good culture great benefits meaningful worktoo much red tape sometimes,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",2,0,0,1,0,0,1,0,1,1,0,3,Open
457,Decent and strong. Good place to groom business skill sets and idea on branding,2022-02-17,Current Employee,4,"Strong learning, pay, chance tk experience multiple brands",Work life balance.. not always prioritized on that field.,Procter and Gamble, Brand Manager,"Strong learning, pay, chance tk experience multiple brandsWork life balance.. not always prioritized on that field.",Extrovert,Sensing,Thinking,Judging,innovative,ESJT,strong learning pay chance tk experience multiple brandswork life balance always prioritized field,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",2,0,0,1,0,0,1,0,0,1,0,3,Open
458,"Great company, great PVPs, great people",2022-02-18,"Current Employee, more than 3 years",4,Great company will good benefits and working environment,Fast paced and extremely challenging at times due to workload and tight deadlines,Procter and Gamble, Product Researcher,Great company will good benefits and working environmentFast paced and extremely challenging at times due to workload and tight deadlines,Extrovert,Sensing,Thinking,Perceiving,innovative,ESPT,great company good benefits working environmentfast paced extremely challenging times due workload tight deadlines,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 2, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",2,0,0,2,0,0,1,0,1,1,0,4,Open
459,Great Place to Work at,2022-02-02,Current Employee,5,Lots of opportunities to learn and grow from within.,Stressful environment with the need to work round the clock.,Procter and Gamble, Anonymous Employee,Lots of opportunities to learn and grow from within.Stressful environment with the need to work round the clock.,Extrovert,Intuition,Feeling,Judging,innovative,ENJF,lots opportunities learn grow withinstressful environment need work round clock,"{'Positive': 3, 'Negative': 0, 'Anger': 0, 'Anticipation': 2, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",3,0,0,2,0,0,1,0,0,1,0,4,Open
460,Highly competitive pay & great boss,2022-02-15,"Current Employee, more than 5 years",4,"Pay is competitive vs the UI/UX/experience/service design space despite role being for print & package design.
Very supportive manager who is committed to groom talent.","Company is big and have many many processes, ensures everybody knows their roles and responsibilities but could affect overall speed.",Procter and Gamble, Senior Designer,"Pay is competitive vs the UI/UX/experience/service design space despite role being for print & package design.
Very supportive manager who is committed to groom talent.Company is big and have many many processes, ensures everybody knows their roles and responsibilities but could affect overall speed.",Introvert,Sensing,Thinking,Judging,traditional,ISJT,pay competitive vs uiuxexperienceservice design space despite role print  package design supportive manager committed groom talentcompany big many many processes ensures everybody knows roles responsibilities could affect overall speed,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",1,0,0,1,0,0,1,0,0,1,0,3,Open
461,Review,2022-02-12,Current Employee,4,Good employee benefits and opportunities to change roles,International mobility opportunities could be improved,Procter and Gamble, Sales Account Manager,Good employee benefits and opportunities to change rolesInternational mobility opportunities could be improved,Extrovert,Sensing,Thinking,Judging,innovative,ESJT,good employee benefits opportunities change rolesinternational mobility opportunities could improved,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",2,0,0,1,0,0,1,0,1,1,0,3,Open
462,Great company. Fast past training ground for product management,2022-02-13,"Current Employee, more than 3 years",4,Great culture of coaching here,Long working hours are expected,Procter and Gamble, Senior Brand Manager,Great culture of coaching hereLong working hours are expected,Extrovert,Intuition,Thinking,Judging,innovative,ENJT,great culture coaching herelong working hours expected,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 1, 'Trust': 2}",1,0,0,1,0,0,0,0,1,2,0,3,Open
463,Balanced worklife,2022-01-25,Current Employee,5,Able to rest peacefully after working hours,Not much cons apart from heavy volumes during certain periods,Procter and Gamble, Account Executive,Able to rest peacefully after working hoursNot much cons apart from heavy volumes during certain periods,Introvert,Intuition,Feeling,Judging,traditional,INJF,able rest peacefully working hoursnot much cons apart heavy volumes certain periods,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",1,0,0,0,0,0,0,0,0,0,0,0,Open
464,Very difficult to survive for working mums,2022-02-06,Former Employee,3,Very good benefits outside salary,Very high workload that are pointless and doesn't contribute much to the overall performance of the company. Stuck in endless meetings.,Procter and Gamble, Finance Manager ,Very good benefits outside salaryVery high workload that are pointless and doesn't contribute much to the overall performance of the company. Stuck in endless meetings.,Extrovert,Sensing,Thinking,Judging,traditional,ESJT,good benefits outside salaryvery high workload pointless contribute much overall performance company stuck endless meetings,"{'Positive': 3, 'Negative': 2, 'Anger': 1, 'Anticipation': 1, 'Disgust': 0, 'Fear': 1, 'Joy': 2, 'Sadness': 2, 'Surprise': 1, 'Trust': 2}",3,2,1,1,0,1,2,2,1,2,2,5,Open
465,Good company with many learning opportunities,2022-01-22,"Current Employee, more than 3 years",5,"Given the chance to do a role rotation every 2-3 years, opportunity to be sent for an expat role abroad",People can be quite intimidating and environment may be very stressful especially for new hires,Procter and Gamble," Senior Manager, Product Supply","Given the chance to do a role rotation every 2-3 years, opportunity to be sent for an expat role abroadPeople can be quite intimidating and environment may be very stressful especially for new hires",Extrovert,Sensing,Feeling,Judging,traditional,ESJF,given chance role rotation every 23 years opportunity sent expat role abroadpeople quite intimidating environment may stressful especially new hires,"{'Positive': 2, 'Negative': 2, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",2,2,0,1,0,0,1,0,0,1,0,3,Open
466,Best Company,2022-01-22,"Current Employee, less than 1 year",5,Amazing benefits and well being is prioritized,Work can be very challenging,Procter and Gamble, Anonymous Employee,Amazing benefits and well being is prioritizedWork can be very challenging,Extrovert,Sensing,Thinking,Perceiving,traditional,ESPT,amazing benefits well prioritizedwork challenging,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",1,0,0,0,0,0,0,0,0,0,0,0,Open
467,Overall good,2022-02-03,"Current Employee, more than 5 years",3,Smart and friend co workers,Organization and Process too complex,Procter and Gamble, Senior Finance Analyst,Smart and friend co workersOrganization and Process too complex,Introvert,Sensing,Feeling,Judging,traditional,ISJF,smart friend co workersorganization process complex,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",1,0,0,0,0,0,1,0,0,1,0,2,Open
468,Great place to work in,2022-01-18,Former Employee,5,This is a great place to work in,No cons worth mentioning now,Procter and Gamble, Global Program Manager,This is a great place to work inNo cons worth mentioning now,Extrovert,Sensing,Thinking,Judging,innovative,ESJT,great place work inno cons worth mentioning,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",1,0,0,0,0,0,0,0,0,0,0,0,Open
469,Great learning and benefits but hierarchical and no work-life balance,2022-01-28,"Current Employee, more than 3 years",3,"It is one of the biggest advertisers in the world with a rich heritage and know-how in brand building, so you will learn a lot when doing marketing here as a junior or senior manager. The package is pretty competitive with very robust health support.","Work-life balance is very bad, especially in Asia, no mater the level of seniority, unless you are lucky to have a small scope and/or super efficient. And like most corporates, the hierarchy takes a toll on decision-making and it depends on the brand and the line manager that you get to do anything innovative in your role.",Procter and Gamble, Senior Brand Manager,"It is one of the biggest advertisers in the world with a rich heritage and know-how in brand building, so you will learn a lot when doing marketing here as a junior or senior manager. The package is pretty competitive with very robust health support.Work-life balance is very bad, especially in Asia, no mater the level of seniority, unless you are lucky to have a small scope and/or super efficient. And like most corporates, the hierarchy takes a toll on decision-making and it depends on the brand and the line manager that you get to do anything innovative in your role.",Extrovert,Sensing,Thinking,Perceiving,traditional,ESPT,one biggest advertisers world rich heritage knowhow brand building learn lot marketing junior senior manager package pretty competitive robust health supportworklife balance bad especially asia mater level seniority unless lucky small scope andor super efficient like corporates hierarchy takes toll decisionmaking depends brand line manager get anything innovative role,"{'Positive': 4, 'Negative': 2, 'Anger': 1, 'Anticipation': 1, 'Disgust': 1, 'Fear': 1, 'Joy': 0, 'Sadness': 1, 'Surprise': 0, 'Trust': 2}",4,2,1,1,1,1,0,1,0,2,3,3,Open
470,Senior manager,2022-01-26,"Current Employee, more than 3 years",4,Good learning environment and breadth,High work load is expected,Procter and Gamble, Senior Manager,Good learning environment and breadthHigh work load is expected,Introvert,Sensing,Thinking,Judging,innovative,ISJT,good learning environment breadthhigh work load expected,"{'Positive': 4, 'Negative': 0, 'Anger': 0, 'Anticipation': 2, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 2, 'Trust': 2}",4,0,0,2,0,0,1,0,2,2,0,5,Open
471,Great place to work,2022-01-07,Current Employee,5,"lots of learning experience
good compesation",over worked due to early responsiblity,Procter and Gamble, Financial Analyst,"lots of learning experience
good compesationover worked due to early responsiblity",Extrovert,Sensing,Thinking,Perceiving,innovative,ESPT,lots learning experience good compesationover worked due early responsiblity,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",2,0,0,1,0,0,1,0,1,1,0,3,Open
472,Good Company,2022-01-06,Current Employee,5,"1) Fast Moving Industry - new experiences/learnings daily.
2) Good support system via job definition & role to-do lists.
3) Good internal coaching & knowledge sharing",1) At times work could be excessive.,Procter and Gamble, Program Manager,"1) Fast Moving Industry - new experiences/learnings daily.
2) Good support system via job definition & role to-do lists.
3) Good internal coaching & knowledge sharing1) At times work could be excessive.",Extrovert,Intuition,Thinking,Judging,innovative,ENJT,1 fast moving industry  new experienceslearnings daily 2 good support system via job definition  role todo lists 3 good internal coaching  knowledge sharing1 times work could excessive,"{'Positive': 4, 'Negative': 1, 'Anger': 0, 'Anticipation': 3, 'Disgust': 0, 'Fear': 0, 'Joy': 3, 'Sadness': 0, 'Surprise': 2, 'Trust': 5}",4,1,0,3,0,0,3,0,2,5,0,11,Open
473,Declining Benefits & Lack of Work Life Balance,2022-01-18,"Current Employee, more than 3 years",3,"Most colleagues are friendly and diverse, medical benefits can include spouse and children

Products are good","The company has been reducing it’s benefits and salary increment in the recent years and leaderships are focused on meeting goals in any means which includes constant pressure to the team to work long hours (overtime almost every single day and work on weekends)

Work life balance is definitely not present, the pay should be equivalent to investment banker salary to balance out the effort",Procter and Gamble, Anonymous Employee,"Most colleagues are friendly and diverse, medical benefits can include spouse and children

Products are goodThe company has been reducing it’s benefits and salary increment in the recent years and leaderships are focused on meeting goals in any means which includes constant pressure to the team to work long hours (overtime almost every single day and work on weekends)

Work life balance is definitely not present, the pay should be equivalent to investment banker salary to balance out the effort",Extrovert,Intuition,Thinking,Judging,traditional,ENJT,colleagues friendly diverse medical benefits include spouse children products goodthe company reducing its benefits salary increment recent years leaderships focused meeting goals means includes constant pressure team work long hours overtime almost every single day work weekends work life balance definitely present pay equivalent investment banker salary balance effort,"{'Positive': 9, 'Negative': 0, 'Anger': 0, 'Anticipation': 4, 'Disgust': 0, 'Fear': 0, 'Joy': 4, 'Sadness': 0, 'Surprise': 1, 'Trust': 6}",9,0,0,4,0,0,4,0,1,6,0,14,Open
474,Supply Chain Analyst,2022-01-20,"Current Employee, more than 1 year",3,"- OT Pay
- Stock option
- Flexi Benefits",- No work-life balance and long working hours,Procter and Gamble, Supply Chain Analyst,"- OT Pay
- Stock option
- Flexi Benefits- No work-life balance and long working hours",Extrovert,Intuition,Thinking,Judging,innovative,ENJT, ot pay  stock option  flexi benefits worklife balance long working hours,"{'Positive': 3, 'Negative': 0, 'Anger': 0, 'Anticipation': 2, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",3,0,0,2,0,0,1,0,0,1,0,4,Open
475,Good Benefits & Inclusitivity,2022-01-18,"Current Employee, more than 1 year",4,"Good benefits: Linkedin E-learning, Brand University, My pay my way.",Slow-paced environment! Lack of collaboration across teams!,Procter and Gamble, Consumer Relations Specialist,"Good benefits: Linkedin E-learning, Brand University, My pay my way.Slow-paced environment! Lack of collaboration across teams!",Extrovert,Sensing,Thinking,Judging,innovative,ESJT,good benefits linkedin elearning brand university pay wayslowpaced environment lack collaboration across teams,"{'Positive': 4, 'Negative': 1, 'Anger': 0, 'Anticipation': 2, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 0, 'Surprise': 1, 'Trust': 3}",4,1,0,2,0,0,2,0,1,3,0,7,Open
476,Overall okay,2022-01-03,"Current Employee, more than 3 years",5,Average salary and benefit among industry,Benefit is getting less and less competitive,Procter and Gamble, Anonymous Employee,Average salary and benefit among industryBenefit is getting less and less competitive,Extrovert,Intuition,Thinking,Judging,traditional,ENJT,average salary benefit among industrybenefit getting less less competitive,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",1,0,0,0,0,0,0,0,0,0,0,0,Open
477,Not that good,2022-01-15,"Former Employee, less than 1 year",3,"at least made some good friends, but highly political",political and not fun at all,Procter and Gamble, Anonymous Employee,"at least made some good friends, but highly politicalpolitical and not fun at all",Extrovert,Sensing,Feeling,Judging,traditional,ESJF,least made good friends highly politicalpolitical fun,"{'Positive': 3, 'Negative': 0, 'Anger': 0, 'Anticipation': 2, 'Disgust': 0, 'Fear': 0, 'Joy': 3, 'Sadness': 0, 'Surprise': 1, 'Trust': 2}",3,0,0,2,0,0,3,0,1,2,0,7,Open
478,Diversity and inclusion,2022-01-02,Current Employee,3,Strong in Diversity and inclusion,Slow in promoting for assistant,Procter and Gamble, Executive Assistant,Strong in Diversity and inclusionSlow in promoting for assistant,Introvert,Sensing,Thinking,Judging,traditional,ISJT,strong diversity inclusionslow promoting assistant,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",1,0,0,0,0,0,0,0,0,1,0,1,Open
479,Great company,2021-12-29,"Current Employee, more than 1 year",4,"Good salary package
Great colleagues
Great environment",Fast paced with tight deadlines and OT required,Procter and Gamble, Supply Chain Analyst,"Good salary package
Great colleagues
Great environmentFast paced with tight deadlines and OT required",Extrovert,Sensing,Thinking,Perceiving,innovative,ESPT,good salary package great colleagues great environmentfast paced tight deadlines ot required,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",1,0,0,1,0,0,1,0,1,1,0,3,Open
480,P&G review,2021-12-16,"Current Employee, more than 1 year",5,"Good salary, good coaching, good teamwork",work-life balance is not ok,Procter and Gamble, Line Leader,"Good salary, good coaching, good teamworkwork-life balance is not ok",Extrovert,Intuition,Thinking,Judging,traditional,ENJT,good salary good coaching good teamworkworklife balance ok,"{'Positive': 3, 'Negative': 0, 'Anger': 0, 'Anticipation': 3, 'Disgust': 0, 'Fear': 0, 'Joy': 3, 'Sadness': 0, 'Surprise': 3, 'Trust': 4}",3,0,0,3,0,0,3,0,3,4,0,10,Open
481,Good long term career,2021-11-28,Current Employee,5,Grow long term career in p&g with highly motivated managers,Work life balance not as advertised,Procter and Gamble, Senior Finance Manager II,Grow long term career in p&g with highly motivated managersWork life balance not as advertised,Extrovert,Intuition,Thinking,Perceiving,innovative,ENPT,grow long term career pg highly motivated managerswork life balance advertised,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 3, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",2,0,0,3,0,0,1,0,0,1,0,5,Open
482,Great environment to learn and grow,2021-12-07,Current Employee,4,Great if you would learn how big and fine company is operating and consistently growing.,Not too bold in many parts unlike tech company as it is designed to grow consistently with higher probability.,Procter and Gamble, Senior Director,Great if you would learn how big and fine company is operating and consistently growing.Not too bold in many parts unlike tech company as it is designed to grow consistently with higher probability.,Extrovert,Intuition,Thinking,Judging,traditional,ENJT,great would learn big fine company operating consistently growingnot bold many parts unlike tech company designed grow consistently higher probability,"{'Positive': 3, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",3,0,0,1,0,0,1,0,0,1,0,3,Open
483,Top business school calibre,2021-11-21,"Former Employee, more than 10 years",5,Super structured thought process and problem solving,"Need to showcase other the doing the work itself, which is everywhere the same.",Procter and Gamble, Manager,"Super structured thought process and problem solvingNeed to showcase other the doing the work itself, which is everywhere the same.",Introvert,Intuition,Feeling,Judging,innovative,INJF,super structured thought process problem solvingneed showcase work itself everywhere same,"{'Positive': 0, 'Negative': 1, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 1, 'Joy': 0, 'Sadness': 1, 'Surprise': 0, 'Trust': 0}",0,1,0,1,0,1,0,1,0,0,1,1,Open
484,Great but highly competitive,2021-11-18,"Current Employee, more than 10 years",5,"Be willing to give it all out. Great leaders, ability to perform is given, need to demostrate above that",Work Life balance will be compromise if you are looking to climb up the coporate ladder,Procter and Gamble, Director,"Be willing to give it all out. Great leaders, ability to perform is given, need to demostrate above thatWork Life balance will be compromise if you are looking to climb up the coporate ladder",Extrovert,Intuition,Thinking,Judging,innovative,ENJT,willing give out great leaders ability perform given need demostrate thatwork life balance compromise looking climb coporate ladder,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",1,0,0,0,0,0,0,0,0,1,0,1,Open
485,Good Benefits and Great place to learn quickly,2021-12-04,"Current Employee, more than 1 year",4,"Lots of trust for you to own the business right from the beginning, good culture where people are willing to teach you","VERY steep learning curve, you are expected to deliver the business from day 1",Procter and Gamble, Anonymous Employee,"Lots of trust for you to own the business right from the beginning, good culture where people are willing to teach youVERY steep learning curve, you are expected to deliver the business from day 1",Extrovert,Sensing,Thinking,Judging,innovative,ESJT,lots trust business right beginning good culture people willing teach youvery steep learning curve expected deliver business day 1,"{'Positive': 5, 'Negative': 0, 'Anger': 0, 'Anticipation': 2, 'Disgust': 0, 'Fear': 0, 'Joy': 3, 'Sadness': 0, 'Surprise': 3, 'Trust': 5}",5,0,0,2,0,0,3,0,3,5,0,10,Open
486,Advantage in working at P&G,2021-11-17,"Current Employee, more than 5 years",5,Supports technical and soft skills improvements,"None, they are very supportive",Procter and Gamble, Anonymous Employee,"Supports technical and soft skills improvementsNone, they are very supportive",Introvert,Intuition,Thinking,Judging,innovative,INJT,supports technical soft skills improvementsnone supportive,"{'Positive': 0, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",0,0,0,0,0,0,0,0,0,0,0,0,Open
487,Amazing experience,2021-11-15,Current Employee,5,"No complaints at all, superb company where welfare is taken care of",Nothing in particular I have experienced so far,Procter and Gamble, Anonymous Employee,"No complaints at all, superb company where welfare is taken care ofNothing in particular I have experienced so far",Extrovert,Intuition,Thinking,Judging,innovative,ENJT,complaints all superb company welfare taken care ofnothing particular experienced far,"{'Positive': 1, 'Negative': 1, 'Anger': 1, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",1,1,1,0,0,0,0,0,0,0,1,0,Exclusive
488,A company who does not appreciate non local university (NTU/NUS) qualification.,2021-11-15,"Current Employee, more than 5 years",3,"flexible working time.
stock option.
learning opportunity.
join while one is still fresh graduate from the locally recognized universities.","- too stretch.
- different standard of promotion depending on who you are reporting to.
- no work life balance.
- not suitable for mid career job seekers.
- totally different promotion requirements for technical associates versus band levels (the so called management people). For technical associates to be promoted feels like applying for CEO level, while a fresh graduate from locally recognized universities gets promoted (within a max. of 2 years) like almost automatically.
- a lot of unfair treatments.",Procter and Gamble, Senior Purchasing Assistant,"flexible working time.
stock option.
learning opportunity.
join while one is still fresh graduate from the locally recognized universities.- too stretch.
- different standard of promotion depending on who you are reporting to.
- no work life balance.
- not suitable for mid career job seekers.
- totally different promotion requirements for technical associates versus band levels (the so called management people). For technical associates to be promoted feels like applying for CEO level, while a fresh graduate from locally recognized universities gets promoted (within a max. of 2 years) like almost automatically.
- a lot of unfair treatments.",Introvert,Intuition,Thinking,Judging,traditional,INJT,flexible working time stock option learning opportunity join one still fresh graduate locally recognized universities stretch  different standard promotion depending reporting to  work life balance  suitable mid career job seekers  totally different promotion requirements technical associates versus band levels the called management people technical associates promoted feels like applying ceo level fresh graduate locally recognized universities gets promoted within max 2 years like almost automatically  lot unfair treatments,"{'Positive': 7, 'Negative': 2, 'Anger': 2, 'Anticipation': 3, 'Disgust': 1, 'Fear': 0, 'Joy': 0, 'Sadness': 1, 'Surprise': 0, 'Trust': 3}",7,2,2,3,1,0,0,1,0,3,3,6,Open
489,Good but grind,2021-11-02,"Current Employee, more than 5 years",5,"Good compensation and benefits
Get to work with smart and","Lots of grinding
Not much work life balance",Procter and Gamble, Senior Product Supply Manager,"Good compensation and benefits
Get to work with smart andLots of grinding
Not much work life balance",Introvert,Sensing,Thinking,Perceiving,traditional,ISPT,good compensation benefits get work smart andlots grinding much work life balance,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",2,0,0,1,0,0,1,0,1,1,0,3,Open
490,Senior Executive Market Strategy and Planning Review,2021-11-16,"Current Employee, more than 5 years",4,Intelligent co workers working alongside,"No backup, so difficult to disconnect and go on long leaves",Procter and Gamble, Senior Executive Market Strategy and Planning,"Intelligent co workers working alongsideNo backup, so difficult to disconnect and go on long leaves",Introvert,Sensing,Feeling,Judging,traditional,ISJF,intelligent co workers working alongsideno backup difficult disconnect go long leaves,"{'Positive': 0, 'Negative': 1, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 1, 'Joy': 0, 'Sadness': 1, 'Surprise': 0, 'Trust': 0}",0,1,0,1,0,1,0,1,0,0,1,1,Open
491,good place,2021-10-30,"Current Employee, more than 3 years",5,Good development opportunities for everyone,work pressure can be competitive,Procter and Gamble, Manager,Good development opportunities for everyonework pressure can be competitive,Extrovert,Intuition,Thinking,Perceiving,traditional,ENPT,good development opportunities everyonework pressure competitive,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 2, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",2,0,0,2,0,0,1,0,1,1,0,4,Open
492,,2021-10-30,"Current Employee, more than 8 years",5,Every thing is very good in the company,No down side in the company,Procter and Gamble, Supply Chain Senior Manager,Every thing is very good in the companyNo down side in the company,Extrovert,Sensing,Feeling,Judging,traditional,ESJF,every thing good companyno side company,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",1,0,0,1,0,0,1,0,1,1,0,3,Open
