,posts,company,type
128," Our sixth annual Diversity, Equity and Inclusion report shares how we’re evolving our DE&I strategy to become more outcomes driven and to better support the communities we serve.  We also detail the ways we’re holding ourselves accountable to deliver meaningful and sustainable change. https://ebayinc.to/39dzroc",Ebay,innovative
129," Some people are lucky enough to turn their passion into their livelihood — like Jeff Lee, who lives, breathes and sells guitars. #IAmeBay 🎸https://lnkd.in/ggXTNKTs",Ebay,innovative
130," On National Hire a Veteran Day, we recognize the service and sacrifices that veterans have made for our country. Our Honor Role veteran apprenticeship program provides career mentorship and support for veterans as they shift into the civilian workforce. https://ebayinc.to/3bXBeft  Pictured here, Matt Drazba adapts to “serving from home” during the pandemic — balancing life as a member of the Marine Corps Reserves, a senior product manager, and a parent.",Ebay,innovative
131," Today, the eBay vault launches! It’s a 31-thousand-square-foot, secure, temp-controlled facility and a digital marketplace for collectors. Beginning today, single, graded trading cards $750+ are eligible for access to the eBay vault. Read more about how the Vault works: https://ebayinc.to/3mixqKP",Ebay,innovative
132, Happy #Pride Month! Employees from around the world share the importance of belonging and what celebrating pride means to them. 🏳️‍🌈✨,Ebay,innovative
133, Our first-ever hybrid eBay Open event will give sellers exclusive access to content and training sessions designed to help their businesses grow. Register today: https://bit.ly/3ROTk6P,Ebay,innovative
134," GLIDEsf and eBay’s annual Power of One Charity Auction Lunch with Warren Buffett has made history, with a winning bid of $19,000,100. The record-breaking bid coincides with the 21st anniversary and grand finale of the legendary auction, which has raised more than $53 million to support GLIDE's transformative programs and services that lift people out of poverty, hunger, and homelessness, and advance equity through systems change. https://ebayinc.to/3mYycwX",Ebay,innovative
135, Join our community and help build tech that empowers millions of people around the world. Explore our open roles: https://bit.ly/3b0nvas,Ebay,innovative
136," We’re excited to announce the launch of eBay Live – a dedicated shopping platform that gives collectors  a new way to connect, browse and buy products in a live, interactive, environment. The new beta technology will combine entertainment with instant purchasing on one of the world’s largest marketplaces. https://ebayinc.to/3mY3PGJ",Ebay,innovative
137, Want to solve a real-world ecommerce challenge? Our Fourth Annual #MachineLearning Challenge tests participants’ on their #NamedEntityRecognition knowledge. Apply now: https://bit.ly/3PJhoHs,Ebay,innovative
138," As #AAPIHeritageMonth comes to a close, our SVP & Chief Legal Officer, Marie Oh Huber reflects on the importance of celebrating differences and welcoming others from a variety of backgrounds.",Ebay,innovative
139, Today we announced our Q4 2021 results: Revenue was $2.6 billion & total Gross Merchandise Volume was $20.7 billion. Full results & forward-looking statements: https://lnkd.in/gKwAJf-x,Ebay,innovative
140, Our latest Impact Report outlines the ways we’re shaping a more sustainable future for our global community. Learn more: https://bit.ly/3ljSU9S,Ebay,innovative
141, Our new report highlights how we’re empowering small businesses in Southeast Asia to expand their reach around the world. https://bit.ly/3yCQUzv,Ebay,innovative
142," Selling or buying pre-owned = a win for the planet. 🌎 By keeping products in circulation longer, any one of us can make a difference — like eBay seller Luc, who’s contributing to a greener future, one pre-loved handbag at a time. #EarthDay",Ebay,innovative
143," eBay’s Luminary Award program recognizes employees who bring our purpose and core beliefs to life. This year, 37 winners around the world were chosen, out of over 1,000 employees who were nominated by fellow eBayers. Here are just a few of the ways our Luminaries were celebrated and recognized by their teammates! 🎉🎈",Ebay,innovative
144," For these recent grads, no two days are ever the same. They share what makes them excited to work at eBay every day. Imagine your career here: https://bit.ly/3JiaSnt",Ebay,innovative
145," When Sandy met Justin, she turned him into a fellow #sneakerhead. A few years later, they own one of the biggest sneaker resale businesses on eBay Australia. Watch the latest episode of Jamie Iannone's Seller Spotlight here: https://bit.ly/3uvPSEa  I’ve been loving what our sneaker community has been doing lately. So it was fantastic to chat with Australian sellers Sandy Li and Justin Truong about their eBay store where they resell coveted styles to other sneakerheads: https://lnkd.in/g76BbpFh I’m so impressed with all they’ve achieved, including their recent expansion to the U.S. — it’s great to see how they’ve turned their personal passions into a thriving cross-border business. Thank you, Sandy and Justin, for taking the time to talk with me and for sharing your advice with other sellers!",Ebay,innovative
146, Our CEO chatted with Mumbai-based jewelry sellers Aditi Minda and Ashwini Gadia about how they #BreaktheBias as female entrepreneurs in a traditionally male-dominated industry. Watch the full episode of Jamie Iannone’s Seller spotlight here: https://bit.ly/3qaEVFW,Ebay,innovative
147, Handshake’s #EarlyTalentAward recognizes employers that launch early careers to new heights. We’re honored to be included on their annual list of employers in the software and technology category. 🏆 https://bit.ly/3a1xOeg,Ebay,innovative
148," From a 31,000 sq. ft. secure facility and digital marketplace for trading cards and collectibles, to eBay’s first digital wallet — these were the biggest announcements from today’s Investor Day: https://lnkd.in/gya-2SKy",Ebay,innovative
149," We proudly celebrate the achievements of women everywhere, every day. In honor of #IWD2022, a few of our employees share the gender stereotypes and biases they challenge and break! Together, we can forge a gender equal world as we all commit to #BreakTheBias. 💪💥 #InternationalWomensDay",Ebay,innovative
150," We’re building the eBay of the future, through a tech-led reimagination. Tune in this Thursday and find out what’s next. ebayinvestorday.com",Ebay,innovative
151," Black history is American history. We’re recognizing the achievements and honoring the adversities of African Americans, whose experiences have enriched and strengthened the fabric of our nation. To celebrate #BlackHistoryMonth, eBay employees pay tribute to the heroes in their everyday lives — and the ripple effects of their impact. ✊🏽✊🏾✊🏿",Ebay,innovative
152," We challenged students across the U.S. to create a model that accurately predicts shipping estimates using Machine Learning — and the response was overwhelming. Congratulations to our winner, Carnegie Mellon University Master’s student Yuyang Xu, whose solution was selected out of hundreds of entries! 🎉 We look forward to welcoming him as an intern on our Structured Data Applied Research team this summer.",Ebay,innovative
153," Happy #LunarNewYear! 🎊 For many in the Asian & Pacific Islander community, it’s one of the most joyous holidays — and each culture has its own unique way of celebrating. eBay employees around the world share the festive ways they’re ringing in the #YearOfTheTiger, which represents bravery, confidence and strength. 🐯",Ebay,innovative
154," A Jewish Bible hidden during the Holocaust was returned to the family of its original owners, thanks to a few kind strangers who connected on eBay. https://ebayinc.to/3oWNZOK",Ebay,innovative
155, These recent college grads at eBay Australia are working on  projects that shape the way Australians shop online. Imagine your career here: https://bit.ly/3maMMBp,Ebay,innovative
156," Congrats to our latest Up & Running Grant recipients! 50 sellers will each receive a $10,000 grant package to re-invest in their business, in addition to training and mentorship powered by Hello Alice. https://ebayinc.to/3rtgvZJ",Ebay,innovative
157," Introducing eBay’s 3D true view technology for sneakers. 👟 In collaboration with Unity, we're piloting a new tool that will enable sellers to showcase the actual item they’re selling with an interactive, 360-degree view and allow buyers to examine a pair from every possible angle. https://ebayinc.to/3Ig399l",Ebay,innovative
158, Lead Product Manager of Data Nicki Tsang is helping to lead the conversation around #accessibility and disability in the workplace through conversations and events hosted by eBay’s ACCESS Community of Inclusion Employee Resource Group. #IDPWD21(Descriptive text: Asian woman with light blurred background wearing a white shirt and black over the ear headphones and curled dark brown hair),Ebay,innovative
159," This #Movember, we’re opening up the conversation around some of the biggest health issues faced by men, including mental health. All month long, our ACCESS Community of Inclusion (COI) — a group that supports and serves our employees and customers who have visible and nonvisible disabilities — is hosting virtual events designed to improve personal well-being, from mindfulness workshops and yoga classes to interactive panel discussions.   Many of us have either faced mental health challenges or know someone who has. What's one way you have created space for open conversation about mental health?",Ebay,innovative
160," These recent college grads reflect on how they’re making an impact, both at work and in their own communities. Ready to join a purpose-driven company? Imagine your career here: https://bit.ly/3BZHU85",Ebay,innovative
161," “This program is a rising tide that lifts all boats. Everybody wins, including eBay and the veteran community.” Launched by two employees, our Honor Role veteran apprenticeship program provides career mentorship and support for veterans as they shift into the civilian workforce. #VeteransDay https://ebayinc.to/3bXBeft ",Ebay,innovative
162," Our DESI Community of Inclusion (COI) fosters a sense of connection and belonging, inviting all of eBay to celebrate cultural moments, like Diwali. Hear from DESI President Deep Vij and eBay Board Member Mohak Shroff about the role DESI plays in creating community.",Ebay,innovative
163, Our CEO recently chatted with eBay seller Dipesh Morjaria about how he's empowering the next generation of athletes. Watch the latest episode of Jamie Iannone's Seller Spotlight here: https://bit.ly/3mY0sAG,Ebay,innovative
164," Our second annual Recommerce Report finds that consumers are more carefully considering the implications of how they purchase goods, with Gen Z emerging as a major economic force in the secondhand resale market.Read our full report to learn how recommerce is creating economic opportunities for all, while also contributing to a healthier planet. https://ebayinc.to/3j8Yr1W ",Ebay,innovative
165," Congratulations to eBay Foundation President, Allie O. and VP of Buyer Experience, Lakshimi Duraivenkatesh for being recognized as one of Silicon Valley Business Journal’s 2022 Women of Influence. 🎉 https://bit.ly/3zDhcUx https://bit.ly/3zIGYa2",Ebay,innovative
166, Today we announced our Q3 2021 results: Revenue was $2.5 billion & total Gross Merchandise Volume was $19.5 billion. Full results & forward-looking statements: https://bit.ly/3pNrXi3,Ebay,innovative
167, The sale of one pre-owned item on eBay can contribute to a big impact. More in our recent report: https://bit.ly/3BwQ1Jr,Ebay,innovative
168, We’re investing in clean energy across eBay’s offices and data centers. More on our sustainability efforts: https://bit.ly/3iW3y6m,Ebay,innovative
169, Our employees #DareTo challenge what people think it's like to work in tech. Connect with some of eBay’s #WomenInTech at the Grace Hopper Conference this week: https://bit.ly/3nYCiqH #vGHC21,Ebay,innovative
170, Megan Jaeb and Michael Meadows-Smith share how eBay’s Finance Futures Program helped build a foundation for their careers. https://bit.ly/2Y0D5gf,Ebay,innovative
171," On the first day of #HispanicHeritageMonth, members of our UNIDOS Community of Inclusion are proud to share their unique identities and experiences. #UnidosTodoEsposible #UnitedEverythingisPossible",Ebay,innovative
172," Once complete, our solar project in partnership with Lightsource bp and McDonald's will generate over 600,000 megawatt-hours (MWh) of clean energy annually. #ClimateWeek https://ebayinc.to/3jnk0eu",Ebay,innovative
173," #DidYouKnow buying and selling pre-owned is a simple, yet highly effective way to conserve water? 💧#ClimateWeek https://ebayinc.to/3jnk0eu ",Ebay,innovative
174," As summer comes to a close, our interns reflect on how their time at eBay has shaped their professional journeys. https://bit.ly/3BUq46I",Ebay,innovative
175," On #InternationalDayOfCharity, we celebrate our sellers and buyers who have donated over $1.1 billion through eBay for Charity since we started giving together in 2003. https://ebayinc.to/3l4XdVE",Ebay,innovative
176, PhD intern Sarika Kondra shares how collaborating with teammates from diverse backgrounds and experiences has enriched her internship experience. Read more about her virtual summer at eBay: https://ebayinc.to/3mQpq59,Ebay,innovative
177," Apply by Friday, June 10th for the chance to receive a $10,000 grant package and education resources to help your small business stay up and running!  https://ebayinc.to/3vWGbi9",Ebay,innovative
178," In a small town in Japan, this anime enthusiast gives items new life and creates opportunities for people with disabilities. Read his inspiring story: https://ebayinc.to/3mkSK3w",Ebay,innovative
179," On #InternationalDogDay, we’re celebrating our paw-some pals who make the best companions — during virtual meetings and on all of life’s adventures. 🐾  Share a photo of your furry friends in the comments! 👇",Ebay,innovative
180," Small business sellers: Apply by September 3rd for the chance to receive a $10,000 grant package and education resources to help you stay up and running. ebay.helloalice.com",Ebay,innovative
181," When you’re an intern at eBay there’s never a dull moment. Learn more about our opportunities for current students and recent grads: https://bit.ly/3BUq46IThanks to our interns Kelly Kim, Shawn Singh, Grace Xaveria and Felipe Valdovinos for giving us a peek into their virtual summer at eBay!",Ebay,innovative
182, “Entrepreneurship is a pathway to stabilize communities and strengthen families.” We’re inspired by Black Girl Ventures (BGV)’s commitment to supporting Black and other women of color to grow their businesses and take them to the next level. Learn more about one of our 2021 Global Give grant winners: https://ebayinc.to/33ofwA4,Ebay,innovative
183," Global Give Grantee TERN - The Entrepreneurial Refugee Network (TERN) is working to shift the narrative around refugees. “We want people to see them as value creators; as people that bring new ideas and new economies to communities.” In the past year, TERN has worked with over 450 refugee entrepreneurs in the U.K. and aims to launch over 2,000 refugee-led businesses across the U.K., U.S. and Canada by 2025. https://ebayinc.to/3220xeX",Ebay,innovative
184," We’re continuing to give back to the small businesses that power America. Our third annual Up & Running program will award $500,000 in grants to help them scale, grow and thrive online. https://ebayinc.to/3vWGbi9 #SmallBusinessWeek",Ebay,innovative
185," At eBay, we believe we have an urgent and important responsibility to mitigate the impact of climate change. Today, we are proud to share that The Science Based Targets initiative (SBTi) has approved eBay's goal to reduce scope 1 and 2 carbon emissions 90% by 2030, in line with limiting global temperature warming to 1.5°C– the most ambitious designation available through the SBTi process and aligned with the Paris Agreement. eBay also commits to reduce value chain (scope 3) emissions from downstream transportation and distribution by 20% in the same timeframe. https://ebayinc.to/3v7JF0u",Ebay,innovative
186," eBay has acquired Sneaker Con Digital, a leading sneaker authenticator, furthering our vertical expansion in the sneakers category. https://lnkd.in/gsKF3Dxi",Ebay,innovative
187," Everything we do is with our customers in mind. We’re excited to announce that we now manage end-to-end payments in all markets, helping businesses save time while offering more payment options for buyers. https://ebayinc.to/3CyqHT6 ",Ebay,innovative
188," We’re excited to welcome Eddie Garcia back to eBay as our new Chief Product Officer. He will lead eBay’s Core Product organization, building on our tech-led reimagination to deliver a streamlined, world-class experience. https://ebayinc.to/3EdgzBf",Ebay,innovative
189," eBay Design is #HIRING. Explore high-impact opportunities to create, innovate, and watch your contributions come to life in the following disciplines across our Design Studios in Seattle/Bellevue, NYC, San Francisco, Portland, and Austin: -Product Design-Brand Design-Design Research & Research Operations-Content Design-Design Technology-Design Program Management-Design Operations & ProgramsFind your next role:  https://lnkd.in/gPBc_RBJ#ebaydesign #design #userexperience",Ebay,innovative
190," The eBay Foundation is focused on addressing and removing barriers that limit entrepreneurship for Black, Indigenous and people of color in the U.S., and for women globally. We’re proud to welcome three new members to the eBay Foundation’s Board of Directors: Eve Williams, Jonathan Jayes-Green and Patrice R Green. For the first time, we are welcoming members from outside the company — Jonathan and Patrice — marking an important step forward in deepening our expertise, staying authentic in our work and providing learning opportunities for all. They join a diverse chorus of voices who are committed to pushing our work forward. https://bit.ly/3rzEdme",Ebay,innovative
191," Congrats to our Chief Sustainability Officer Renee Morin, named one of Sustainability Magazine's Top 100 Women Leaders. https://bit.ly/3uOmCbj",Ebay,innovative
192," We recognize that mental wellness is of the utmost importance to the health of our employees, and we’re proud to be named Lyra Health’s Workforce Mental Health Company of the Year. Lyra connects our employees and their family members to therapists, coaches and a comprehensive suite of tools to support mental health and wellness. Today, our employee satisfaction rate stands at 93% with their care. https://bit.ly/3Nx5ejH",Ebay,innovative
193," 17-year-old artist Apoorva Panidapu creates portrait-style paintings of female trailblazers each year in honor of International Women’s Day. The daughter of an eBay employee, she uses the eBay for Charity platform to auction her art and support causes close to her heart. This year, Apoorva chose Maya Angelou as her subject, citing the late female poet as a “perfect example of what IWD is all about — women's resilience, unity and empowerment.” Between the sale of the painting, donations from family and friends and corporate matches, Apoorva raised $7,000 for humanitarian aid efforts in Ukraine. #WomensHistoryMonth",Ebay,innovative
194," At eBay, we believe we have a responsibility to provide more pathways to entrepreneurship. The eBay Foundation is a proud sponsor of XPRIZE’s Racial Equity Alliance, a U.S. coalition aimed at creating more equitable solutions to dismantle systemic structures of racial inequities in education, health, housing and economic mobility, with an intentional focus on the Black community. https://bit.ly/35jvpJ6",Ebay,innovative
195, We stand with the people of Ukraine. We are taking action to support impacted communities as this horrific situation evolves.,Ebay,innovative
196," We’re excited to partner with Black Girl Fest to create more equitable opportunities for Black women in ecommerce. The program will provide entrepreneurs with 12 weeks of dedicated support, training, insights and more: https://bit.ly/3oDsTnU",Ebay,innovative
197," Congrats to our Chief Sustainability Officer Renee Morin, named a ""Women in Smart Energy"" award winner by Smart Energy Decisions. #SEDEvents https://bit.ly/36jnEn1",Ebay,innovative
198, eBay UK & Ireland Director of Customer Relations Siobhan Curtin spoke with Irish Independent about how her eBay journey began 17 years ago and what she's learned from managing teams that work remotely. https://bit.ly/3AbZCFo,Ebay,innovative
199," We’re honored to be recognized as one of Glassdoor’s Best Places to Work in 2022. We couldn’t have done it without our amazing employees, whose feedback on eBay’s  career opportunities, compensation and benefits, culture and values, diversity and inclusion, work/life balance and more helped us earn a spot on this list. https://ebayinc.to/3zNUkja #GlassdoorBPTW",Ebay,innovative
200, We are proud to have achieved a perfect score on the Human Rights Campaign's Corporate Equality Index for the 14th year in a row for LGBTQ+ workplace equality. #CEI2022 https://bit.ly/3r5lE9I,Ebay,innovative
201," Congrats to Lakshimi Duraivenkatesh, VP of Buyer Experience Engineering, for being recognized by WomenTech Network as one of the 100 Women in Tech Leaders to Watch in 2022. https://bit.ly/3eSa4YX",Ebay,innovative
202," Dr. King’s example is our call to action. On this national day of service, we encourage our employees to give back to their communities as we continue to make strides toward a more equitable world. And today through February 28, the Black Employees at eBay (BEE) community of inclusion will lead our employees in a Virtual March, commemorating the Selma to Montgomery marches that took place in 1965.",Ebay,innovative
203," Angeles G.’s advice to her younger self? “Take opportunities, meet new people and do something that makes you uncomfortable because those experiences will enrich you so much.”  From recent college grad to full time Program Manager, Angeles values the way eBay has supported her personal and professional journey.Find your next role at eBay: https://lnkd.in/gFVq-TR",Ebay,innovative
204," Sustainability is core to our purpose. Today, we're proud to share that we have been included in the S&P Global #DJSI World Indices for the third year in a row for our commitment to sustainability. https://bit.ly/3wSPCPz",Ebay,innovative
205," We value gender equality in the workplace, and are proud that our efforts toward  gender pay equity have resulted in 100% pay parity in the U.S. and 99.7% globally. Read the 2021 Women in the Workplace report by McKinsey & Company and Lean In for insights from the past year. #WIW2021 womenintheworkplace.com",Ebay,innovative
206," We’re committed to fostering equitable entrepreneurship. Our new report explores how women across the U.S. have used eBay to earn income, support their families and work flexibly and safely from home during the pandemic: https://ebayinc.to/3Ff1X4y ",Ebay,innovative
207," Our sellers are the heart of eBay. Our SVP and Chief Product Officer, Pete Thompson outlines the ways we’re innovating on their behalf and further safeguarding the shopping experience. https://ebayinc.to/3ocbZgE",Ebay,innovative
208, eBay is proud to be at the world’s largest gathering of #WomenInTech! Will we see you at the Grace Hopper Conference? Join us and #DareTo change lives at eBay. #vGHC21 https://bit.ly/3nYCiqH,Ebay,innovative
209," Born in Nicaragua, raised in Honduras and now living in California, Susana Presedo finds a sense of home and community wherever she goes. During #HispanicHeritageMonth, she explains how culture and family have shaped her personal and professional journeys: https://ebayinc.to/3FFiyP4",Ebay,innovative
210," We are proud to announce our 2021 Global Give grantees. Through the eBay Foundation, our employees cast 7,700 votes to select 49 non-profit organizations that are working to support historically excluded entrepreneurs and small businesses. https://ebayinc.to/3kbN4r6 (Photo Credit: Black Girl Ventures and Trickle Up)",Ebay,innovative
211, 🗓 Mark your calendar for September 8-11! Join us at #LTXQuest to learn what it’s like to work at eBay. Register to attend: https://bit.ly/3yaFpOm,Ebay,innovative
212," As mobile and ecommerce outpace in-store shopping, demand for buy-now-pay later (BNPL) options rise for merchants and consumers. Here we discuss the rapidly evolving BNPL landscape fueled by a new digital-first mindset, read more https://vi.sa/3zZtFQP #VisaNavigate #BNPL",Visa,innovative
213," If you’re like Annette Lee and think that Visa is just a credit card company, join her in this all-access peek to find out what Visa really does. https://vi.sa/3CpjRCPHead to https://vi.sa/3C8VxVE... to learn more about Visa.",Visa,innovative
214," Our Visa Black Scholars mentors wanted to help pay it forward by nurturing young talent, then something unexpected happened. Hear how the program is creating a positive impact for all involved. Thank you to those inspiring our future leaders. Learn about the many ways we’re investing in our workforce: https://vi.sa/3ptLkeL #LifeAtVisaMichelle Gethers Clark Matt Story Simona Rabsatt Butler",Visa,innovative
215," Gather round to kick off the countdown to July 20, 2023! Visa is proud to be the official partner of the FIFA Women’s World Cup 2023 TM, uniting people from around the world through their common love for football. See you in Australia and New Zealand! https://lnkd.in/g48WUCrB",Visa,innovative
216, Just 100 more days until the greatest football tournament in the world! Are you ready to give your all for the team you love? Visa is a proud worldwide partner of the FIFA World Cup Qatar 2022™. ,Visa,innovative
217," As an innovator in money movement, Visa is supporting the future of payments by investing in solutions to help grow push payments globally. Today’s launch of the Visa Direct Preferred Partner program gives Visa Direct solution providers the business tools, technical training, sales, and go-to-market resources to help build and launch their own global money movement solutions. Learn more here: https://vi.sa/3do1Vhm.",Visa,innovative
218," With the rise of digitally native Generation Z in the workforce and technologies like the metaverse and digital currencies, economies around the world appear to be on the cusp of another round of fundamental secular changes. Read the full report from Visa Business & Economic Insights (VBEI) on how the culmination of these factors and their interplay could prove pivotal for the payments industry.💡 Insights: Mohamed Bardastani, Senior CEMEA Economist | Richard Lung, Principal Global Economist | Glenn Brendan Maguire, Principal AP Economist 📷 Creative: Visa Business & Economic Insights (VBEI)#VisaEconomicInsights #VisaConsultingAnalytics #Payments",Visa,innovative
219," More than 100 Visa colleagues grabbed their shovels and got their hands dirty this Global Volunteer Month. Employees in Colombia and Mexico supported reforestation efforts to help conserve areas that are critical for the environment. Together they planted 600 trees in Mexico City, Mexico and the Main Ecological Structure of Bogota, Colombia. #LifeAtVisa #GlobalVolunteerMonth",Visa,innovative
220," “Visa values, honors, and respects intersectionality. We want to invite you, welcome you, and give you a seat at the table. We want you to speak up because what you have to say is valuable. At Visa, it's about how we show up for each other,” Michelle Gethers Clark, Chief Diversity Officer & Head of Corporate Responsibility. Students at the Black Scholars Summit have spent the past few days learning how to prepare for the professional workforce. They heard from a panel of inspiring athletes about finding their purpose, and from Kwame Jackson, CNN Political Commentator and Harvard Business School alum, who shared his leadership toolkit to manage code switching, micro-aggressions, workplace toxicity, imposter syndrome, and still win. Learn about Visa diversity and inclusion: https://vi.sa/3OfSfDf #LifeAtVisa",Visa,innovative
221," Equipping Black students with the skills to succeed in corporate America is at the heart of the Visa Black Scholars and Jobs Program. Scholars spent a week at our inaugural summit learning from leaders, strengthening interpersonal skills, receiving mentorship, and community building. Hear how this experience has shaped their perspectives. It’s part of Visa’s investment in developing future leaders through our early career and student programs, learn more: https://vi.sa/3S0cVRT#LifeAtVisa",Visa,innovative
222," Last week, Visa held its first-ever Community Volunteer Day across all our North American offices to kick off Visa’s annual Global Volunteer Month. Employees came together to volunteer one hour of their time to create Project Helping Kynd Kits full of materials and supplies to support a cause of their choice. Some kits were even hand-delivered to charities in Foster City, Denver, Austin and New York – check it out. #LifeatVisa",Visa,innovative
223," To help bridge the digital financial divide in underserved communities, Visa's Digital Empowerment Program is expanding to Atlanta, GA. We’re partnering with Human-I-T to provide equipment, training, and access to reach 1,000 individuals and small business owners. Learn more: https://vi.sa/3NxyFRI",Visa,innovative
224," In partnership with FAB and Dubai Business Women Council (DBWC), the Visa She’s Next grant is back. Apply by July 20th for the chance to win the grant and a mentorship from IFundWomen. As a network working to invest in her, we can’t wait to hear your pitch.",Visa,innovative
225," Smell that? Visa volunteers in Melbourne, Australia spent the day ‘Cooking for a Cause’ with OzHarvest. This Global Volunteer Month, staff recently produced 262 portions of delicious and nourishing meals for people facing food insecurity. #LifeAtVisa #GlobalVolunteerMonth",Visa,innovative
226," Take a look at the future of talent. We kicked off the inaugural Black Scholars Summit at Visa HQ. This week, scholars will connect for the first time, explore career options, receive mentorship, and attend professional development series. Learn more about Visa’s commitment to supporting diverse future leaders: https://vi.sa/3b1Q07z #lifeatvisa",Visa,innovative
227," Our Visa employees have been busy bees this Global Volunteer Month. Colleagues in Spain spent a day building insect hotels used by bees, spiders and other bugs. They also put in hard work to repair fencing to protect local animals and vegetation. Thanks for giving back! #LifeAtVisa #GlobalVolunteerMonth",Visa,innovative
228," Celebration and recognition of #Pride continues at Visa! Fashion designer, TV personality and author, Tan France recently sat down with Vice President and Global PRIDE ERG co-lead Mariko L. Sola, CPM for an inspiring discussion about representation, self-acceptance, fatherhood and allyship. Visa’s Inclusion & Diversity Talks is a global employee education series that promotes active learning, dialogue and allyship for our people and communities around the world. Visa.com/inclusion #LifeAtVisa Visa",Visa,innovative
229," Did you know: nearly 78 percent of consumers in Asia Pacific are more likely to make environmentally friendly purchases if they can see their carbon footprint and take action. Through the Visa Eco Benefits bundle, our bank and fintech partners across the region can add these sustainability features to existing Visa cards. This solution is another way for us to expand our network beyond payment transactions and deliver more insights to partners and their customers. https://vi.sa/3PWswjXSource: Visa/YouGov",Visa,innovative
230," At Visa, we believe that investing in the next generation of leaders is essential to advancing our payments technology that helps uplift everyone, everywhere.This year, over 600 talented interns will bring their unique skills and perspectives to Visa for 12-weeks of learning, growth and impact. From crypto to artificial intelligence to data science – Visa interns will work on innovative projects that help enhance the payment experience and enable the future of money movement.Learn more about career opportunities for students and new grads at visa.com/careers #LifeatVisa #VisaInterns---Interns – share your school + which team you'll be joining below ⬇️Visa employees – please welcome our new interns below ⬇️",Visa,innovative
231," Tapping into talent in underserved communities is helping to transform lives. Learn how Chime Solutions , a Visa diverse supplier, teaches people to reach their potential by delivering exceptional customer care: https://vi.sa/3S1rggM",Visa,innovative
232," Dans exactement 2 ans, Les Jeux Olympiques de Paris 2024 s’ouvriront. Chaque jour, Visa, fier sponsor des Jeux Olympiques depuis 1986, relie les personnes et les entreprises dans le monde, motivé par des valeurs telles que l'inclusion et la participation, tout comme celles de l’esprit Olympique. Ensemble, Ouvrons Grand Les Jeux. #Paris2024 #EnRoutePourParis2024",Visa,innovative
233, New Visa research reveals crypto-owners are interested in different products that enable more crypto spending options – whether it’s with crypto-linked cards or through crypto-backed rewards. Learn more about crypto-linked cards: https://vi.sa/3BgEVup,Visa,innovative
234," The U.S. economy has an estimated $300 billion in pent-up demand for #travel, and during the pandemic the U.S. workforce left more than 30 percent of its vacation days unused. So, when is travel and tourism spending likely to fully recover? Read the new domestic travel report below. #TravelInsights #VisaConsultingAnalytics #VisaEconomicInsights #VisaNorthAmerica📸: pressmaster | ©Adobe Stock",Visa,innovative
235, How are you paying your public transit fare? 🚌 🚆 Visa’s Future of Urban Mobility survey finds 91% of consumers now expect public transit to offer contactless payments and cite convenience as a top benefit to using this option. Take a ride to learn more: https://vi.sa/3PDt8KT,Visa,innovative
236," Perfios Software Solutions Pvt. Ltd. is an India-based fintech that specialises in helping financial institutions extract, categorise and analyse a wide range of data to deliver real-time decisioning, analysis and credit underwriting. #visaaccelerator",Visa,innovative
