,date,content,reactions count,comments count,shares count,comments,username,job title
20,1 year ago," For #NationalInternDay, we're proud to recognize all the talented interns driving our growth around the world! 🚀 At ByteDance, interns don't just fill out spreadsheets. They're given the space to lead their own projects, create new initiatives, and build cutting-edge products.If you're thinking about where to start your career, watch this video to hear from our interns in Singapore about why #ByteDance might be a fit for you!Check out the latest global internship opportunities here: https://lnkd.in/gz9VauA",204,1,12,{},{},{}
21,3 months ago," We're proud to announce that a ByteDance Singapore tech team has just won first prize in a contest combatting deepfakes. 🏆The development of powerful deep learning technologies has brought about some new and innovative ways to impact both society and individuals. But it has also led to the emergence of fake media and deepfakes. To tackle the issue, AI Singapore organized the Trusted Media Challenge (TMC) to explore technologies that could be leveraged to combat fake media. ByteDance researcher Weimin Wang's submission was 98.53% accurate at telling apart genuine clips from manipulated ones. He beat 469 other teams from around the world to win the top prize in this competition!Read more about the competition and the team's winning solution in our blog post. https://lnkd.in/g-h2H2ec#ByteDance #AISG #TrustedMediaChallenge",1,12,25,"{'comment1': 'Congrats', 'comment2': 'Congrats people!', 'comment3': 'Amazing', 'comment4': 'Congrats !!! 👏', 'comment5': 'Congrats team. Awesome timing! Possibly could be used in TikTok US Safety leading to the midterm elections! Deep fakes and  fact checking are among the top impact real time areas of improvement in social media!', 'comment6': 'Inspiring', 'comment7': '🙂 Writing on the board ! (notes) on the board - here !🤗', 'comment8': 'Well done Bytedance. Delighted to be working with you 👏👏👏'}","{'username1': 'Yash Jain', 'username2': 'Satish Kumar', 'username3': 'Rimpa Paul', 'username4': 'Shwetank Sonal', 'username5': 'Sai G.', 'username6': 'Chaikamon ( Chris ) Sriprasan', 'username7': 'Laurie GRAILLAT', 'username8': 'Mark Jones'}","{'job_title1': 'SPOC', 'job_title2': 'Executive in Wipro.', 'job_title3': 'Attended University Of North Bengal', 'job_title4': 'ByteDance/TikTok - We are Hiring !!! Team SGP/CHN/LON/MTV', 'job_title5': 'Product Management, Strategy - Hiring! @ Tiktok', 'job_title6': 'Marketing || Founder || Project Manager|| Content Creator || Investor || Consultant || Import & Exporter||Real Estate||PR||HR', 'job_title7': ""🧡 Recherche d'un emploi dans le domaine administratif 🖤{•loisirs•Art•mobile•Art'l•}💙"", 'job_title8': 'Founder. CEO . Giant iTab . Giant Smartphones. Award Winning . Event Tech . Venue Tech . Awards . Judge . Speaker . CX Customer Experience . DX Digital Engagement . Digital Transformation . Sustainability .'}"
22,3 months ago, Spring has come to Japan and so has the charming cherry blossom (Sakura) season 🌸 !#bytedance #sakura #cherryblossom ,884,5,10,{},{},{}
23,5 months ago," On this special day, we want to say thank you to all the incredible women at ByteDance and beyond. We wouldn't be here without you. We stand with you to push for a diverse, equitable, and inclusive world where difference is valued and celebrated. Explore the unique and endless power within you. Never stop pursuing your dreams and reaching new heights. #IWD2022 #womenintech #BreakTheBias",1,6,48,{},{},{}
24,5 months ago," Looking to kickstart your career in a fast-growing tech company, where you can make a global impact through the work you do? Join us in our mission to inspire creativity and enrich life at ByteDance! ✨Whether you're a student or a recent graduate, ByteDance has many opportunities for you to learn and develop your skills, and work on innovative and groundbreaking projects and technologies.Applications for our 2022 internship and graduate opportunities are still open, so apply now and start your journey with us! https://lnkd.in/gUDNNfTi#ByteDance #students #graduates #internships #campusrecruitment",106,1,15,{'comment1': 'Great opportunity'},{'username1': 'INDERA SHAH'},{'job_title1': 'Co-Owner di Johnkey LLC'}
25,6 months ago, Happy Lunar New Year! Here's to roaring into the new year ahead!#ByteDance #lunarnewyear ,1,18,39,{},{},{}
26,6 months ago," ""Online Payment Risk is a very unique and specific domain that is constantly changing. I'm fortunate  to have an extraordinary team of young and brilliant minds that are not afraid to aim for the highest!""Meet Angela from the Global Payments Risk Operation Team in Singapore. Her team is responsible for reviewing more than 100K number of transactions daily, to ensure the platform is safe from credit card fraud.Having been in the finance industry for a while now, Angela agrees that her experience in ByteDance is like no other.""The strong spirit of innovation and collaboration at ByteDance not only allows us to bring our ideas to life but also develop our skills beyond our role as we work with people from various departments. It is an incredible feeling to see your team's work making an impact on the growth and success of the company.""Join the #ByteDance team and work on groundbreaking innovative technologies that make a global impact! Click here to browse opportunities: https://lnkd.in/gAV-shQ8",563,12,6,"{'comment1': 'bytedance is the most wonderful company I met', 'comment2': 'Way to go 👍', 'comment3': 'Wow, long time no see!', 'comment4': 'Way to go 👏🏻', 'comment5': '100k with AI AML', 'comment6': 'Cool to see you kick start another journey!!!', 'comment7': 'Way to go Angela!', 'comment8': 'Go Angela Zhang ! 👏👏👏', 'comment9': 'Amazing work! Hope #AI can help your team to work more effectively', 'comment10': 'Well done, Angela Zhang! Nice to see your spotlight.', 'comment11': 'Well done, Angela Zhang!', 'comment12': 'Nice!'}","{'username1': '丁云龙', 'username2': 'Tony Bailey', 'username3': 'Solomon Li', 'username4': 'Dion Hermansyah', 'username5': 'Clarence Sai', 'username6': 'Gordon Chan', 'username7': 'Brady Harrison', 'username8': 'Monica Acree', 'username9': 'Tick J.', 'username10': 'Shobana Kandaswamy', 'username11': 'Rajasekaran Radhakrishnan', 'username12': 'Audrey Ottevanger'}","{'job_title1': '字节跳动 - 高级产品经理', 'job_title2': 'Digital Channel Manager', 'job_title3': 'Senior Risk Analyst at Industrial and Commercial Bank of China', 'job_title4': 'Business Development, Offline Acquisition (E-commerce) at TikTok (Bytedance)', 'job_title5': 'AML Compliance Practitioner | Data Analytics, Management Professional | Attaining new competencies and achieve rewarding experiences~', 'job_title6': 'Digital Transformation, OmniChannel Retailing, Technology strategic planning, Team Lead, Frontend Web Engineering (but not JAVA)', 'job_title7': 'Director, Customer Analytics Solution Delivery at Kount', 'job_title8': 'VP Sales, APAC @ FullStory', 'job_title9': 'Believe in a more beautiful life through deep tech: AI+ Fintech, Web3| Over $21.6B Business Deals | Expert: AI, Property design & development | Angel Investor', 'job_title10': 'Head of APAC Solutions Engineering at TeamViewer', 'job_title11': 'Enterprise Solutions Engineer | Senior Technical Consultant', 'job_title12': 'Co-Founder COO I Digital Payments Consulting I ex Braintree-PayPal'}"
27,6 months ago," Are you a student or recent graduate looking to kickstart your career? Come on board and join our growing ByteDance family!Be part of a fast-growing tech company where you too, will also grow fast, and get to work on exciting groundbreaking projects that will impact many communities around the world. 🌎💫Join us in our mission to inspire creativity and enrich life. Apply for our exciting 2022 campus recruitment opportunities and begin your adventure with us today! https://lnkd.in/gPm_2MuH#ByteDance #students #graduates #internship #campusrecruitment",237,1,16,{'comment1': 'kak Audrey Sucahyono'},{'username1': 'Silvia Irani'},{'job_title1': 'Operations and Project Manager at Indonesia Business Partners'}
28,7 months ago, Have a great rest of the year and let's make another great year together! YOU ROCK 🤟#happyholidays #happyholidays2021 #bytedance,1,7,45,"{'comment1': 'Happy new year!', 'comment2': 'I need a job, I have 5 years working experience in non voice process. If you have any situation job for me. Please contact me 8810621351', 'comment3': 'Happy holidays! 🥳', 'comment4': '🙏🙏🙏', 'comment5': 'Merry Christmas and Happy New productiv 2022 ➡️🔝🎁👍💐⛄😀', 'comment6': 'TIKTOK CANNOT PROTECT YOUR REPUTATION!https://www.linkedin.com/posts/erenayd%C4%B1n_tiktok-bytedance-reputation-activity-6879582999906717696-OMIF', 'comment7': 'Monsour Nava'}","{'username1': 'baocheng xiao', 'username2': 'Deepak kumar', 'username3': 'Werther Veulemans', 'username4': 'Gabriela Chaves Schwery Comazzetto', 'username5': 'Perra S.', 'username6': 'Eren Aydın', 'username7': 'Robert Jr. Macarasig'}","{'job_title1': 'Guangzhou kangyin Equipment Technology Co., Ltd. - General Manager', 'job_title2': 'E-commerce Executive at V2kart', 'job_title3': ""Senior Cluster Social Media Manager | Data Oriented | Blockchain | Millennial | Fueling a Lust For Life | World's Favorite Travel Company"", 'job_title4': 'Head of Global Business Solutions Latam and Brazil @ TikTok & Bytedance', 'job_title5': 'CPG Bevakning Sverige AB/Private law enforcment officer /Close Protection officer', 'job_title6': 'Media Partner', 'job_title7': 'QA SME at Bytedance'}"
29,8 months ago," 'At ByteDance, you don't just come up with great ideas, you see them come to life!'Meet Zhao Cong from the Business Integrity Team in Singapore!Having years of experience in tech under his belt, Zhao Cong believes there's always room to learn, and ByteDance has provided him one of the best work environments to be able to think like Day 1.'The company values success but we also accept failures- run, look back and grow as a team' he says. 'Usually engineers work on their own tasks and projects, but at ByteDance, there's the opportunity to work and collaborate with people from all around the world. The company branding attracts the top brilliant young minds to work with us and that's the ultimate source of growth.'Jump onboard the #ByteDance rocketship and work on groundbreaking innovative technologies that make a global impact!Click here to browse opportunities: https://lnkd.in/ee6guBdc#bytedance #techcareers #tech",370,4,9,"{'comment1': 'I thought it would be an AR pineapple: ""great ideas...see them come to life"". But given the DSLR, it likely is a random vacation image (unless Bytedance tech is adding marketplace grocery shopping)', 'comment2': 'TIKTOK CANNOT PROTECT YOUR REPUTATION!https://www.linkedin.com/posts/erenayd%C4%B1n_tiktok-bytedance-reputation-activity-6879582999906717696-OMIF', 'comment3': 'how are you Zhao Cong!'}","{'username1': 'Vincent L.', 'username2': 'Eren Aydın', 'username3': 'Traven Teng (丁德宝)'}","{'job_title1': 'Software Engineer', 'job_title2': 'Media Partner', 'job_title3': 'International Talent Acquisition Lead at Tencent'}"
30,8 months ago," We are pleased to announce that our lifestyle app Lemon8 has won Google Play's Best of 2021 under the ""Everyday Essential"" app category in Japan!Lemon8, currently released in Japan and Thailand, aims to build a diverse and inclusive community to help users discover the beauty in everyday life by sharing content ranging from food, to family, to fashion. We are hoping to continue inspiring creativity and enriching the lives of our users going forward.#lifestyle #community #googleplay",517,8,13,"{'comment1': 'Congrats', 'comment2': 'Will lemon8 be expanding their market soon?', 'comment3': 'Best of luck', 'comment4': 'Love this !', 'comment5': 'Amazing!!', 'comment6': 'Congratulations n good luck👍🏽', 'comment7': 'TIKTOK CANNOT PROTECT YOUR REPUTATION!https://www.linkedin.com/posts/erenayd%C4%B1n_tiktok-bytedance-reputation-activity-6879582999906717696-OMIF'}","{'username1': 'Xiaoyan Dang', 'username2': 'Faisal Adli Tajul Anuar', 'username3': 'Rajkiran Rao', 'username4': 'CunYu Wang', 'username5': 'Lionel Sim', 'username6': 'Sabeena Ahamed', 'username7': 'Eren Aydın'}","{'job_title1': 'Principle TPM Manager，ByteDance', 'job_title2': 'Community Content Management Specialist', 'job_title3': 'Visualizer (Manager)', 'job_title4': 'Technical Lead at ByteDance', 'job_title5': 'Global Marketing, Partnerships, Growth, Ecosystem @TikTok | AdAge 40 under 40 | @Apple | @WeChat | @Stanford', 'job_title6': 'Customer Success', 'job_title7': 'Media Partner'}"
31,9 months ago," Ever wonder what it's like to be part of a fast growing tech company? If you're a student or recent graduate who's looking to impact the world with your creativity, we'd love to meet you! 👋Click here to explore career opportunities at ByteDance: https://lnkd.in/g7WDW7a4Applications for our fall recruitment close on 30 November, so apply now! We're excited for you to begin your journey with us! #ByteDance #students #internships #campusrecruitment",327,11,38,"{'comment1': 'I would like to share a survey from the university and an idea we had about using the TikTok appTikTok 🇧🇷 Marketing Socialhttps://docs.google.com/forms/d/e/1FAIpQLSfZfII60cqGkTXdGMc5cW-FTVe9lBXMR_paXKwjq3gdlFhTmA/viewform?vc=0&c=0&w=1&flr=0', 'comment2': ""🎶♥ All the money raised from the dances of Madagascar can go to Madagascar 🇲🇬 It's a great way to:1 encourage dancing, taking care of health (physically fit);2 raise awareness of the global problem of the climate crisis;3 spread solidarity and philanthropic use of the app, raising money to help our needy brothers and sisters in Madagascar!♥️🙌🏻🌍"", 'comment3': 'Great opportunity', 'comment4': 'Great opportunity', 'comment5': ""Hi Team, i have applied for QA manager Trust & Safety, and haven't recieved any update since it's been a week!"", 'comment6': 'Hi Bytedance, I applied for a position almost a month ago without any updates in Malaysia.\xa0 I attempted to email HR email stated however to no response at all as well. How do I able to join without any response from recruitment team? Seek advice.\xa0', 'comment7': 'Great opportunity! Join TikTok and bring joy to the world.', 'comment8': '看见你们字节跳动，就想说一下，你们现在的服务真不怎么样，买了你们3万元的流量包，你们业务人员签合同前，说什么都可以，什么通过专业的运营、专业的平台数据，可以帮我们引流更精准的粉，当我交了钱，我发现运营根本不专业，第一次上传视频不带封面，就给我们上传，跟我解释说不影响，说你们公司作引流不可以我们自己上传，你们引流不了，但我了解不是这样，说是视频作好发给你们，我提前一天发给你们运营，第二天你们运营开完会就11点，才给上传，说要公司审核，一直审到晚上六点，最后说视频不合格让我们重作，我就想问你们专业吗你们运营说是会提前审，到底怎么审的，而且你们公司审核视频要这么久吗，请问如果客户哪个还敢找你们作推广，本来三个视频分早上8点，中午12点，晚上18点发最后没有一个流量池敢上，说是给我们加精准粉，加的都是什么精准粉，我们是电子行业，给我们加的粉都是，美食博主、70左右的大叔大妈、电影博主、游戏博主、大头娃娃、还有的都是僵尸号，你们专业到哪了，没签合同没交钱什么都是牛B的什么都可以，交了钱什么都不是。你们真是新媒体的老大，牛B的很，骗钱都这么牛B', 'comment9': 'Aakash Shelake'}","{'username1': 'Joseleine Pires Cogenievski', 'username2': 'Joseleine Pires Cogenievski', 'username3': 'Emmanuel Hanson MHRM, SCIPD', 'username4': 'Milko S.', 'username5': 'Harish Kumar', 'username6': 'Khai Sheng Siow', 'username7': 'Wu JunLin', 'username8': '牛海峰', 'username9': 'Huzaifa Momin'}","{'job_title1': '⚖️', 'job_title2': '⚖️', 'job_title3': '|HR Enthusiast|HKBU IPS Recipient & Graduate|Ex- Absa|', 'job_title4': 'Quality Analyst at TikTok', 'job_title5': 'Trust & Safety|Global Policy| Content Moderation|Deputy Training & Quality Manager', 'job_title6': 'I am actively looking for permanent career', 'job_title7': 'TikTok Singapore is hiring, check my post to get internal referral opportunity!', 'job_title8': '阿牛哥咨询管理（深圳）有限公司 - 人力资源管理总监', 'job_title9': 'System Engineer at TCS | 3 ⭐️ CodeChef | 1500+ Rating on LeetCode'}"
32,10 months ago," ""As a ByteDancer, you're part of a major tech company while being a pioneer of game-changing functionalities and products. My team only has three engineers, but our work reaches a billion users!""Meet Arthur, a Software Backend Engineer on the TikTok Direct Message Safety Team in Singapore! Since joining ByteDance as a recent graduate, Arthur has a lot to share with current students about his experience so far.""Despite having less than a year of experience, I've been working independently on high-impact features and I get a lot of trust from my team,"" he says. ""As we grow, there are so many exciting projects, and you have the space to decide for yourself what to prioritize.""If you're a student excited to launch your career at #ByteDance, our campus recruitment is underway! Click here to browse opportunities: https://lnkd.in/gSE2cpYj",524,7,7,"{'comment1': '恭喜恭喜!', 'comment2': 'nice 😄', 'comment3': 'I applied for a position in Kuala Lumpur but never have any updates yet even after 1 month', 'comment4': '我们现在就是从字节跳动离开创业的，项目；APP流量变现，有机会合作的话，联系我肖贤声13903065532', 'comment5': 'Nice 😍', 'comment6': '看见你们字节跳动，就想说一下，你们现在的服务真不怎么样，买了你们3万元的流量包，你们业务人员签合同前，说什么都可以，什么通过专业的运营、专业的平台数据，可以帮我们引流更精准的粉，当我交了钱，我发现运营根本不专业，第一次上传视频不带封面，就给我们上传，跟我解释说不影响，说你们公司作引流不可以我们自己上传，你们引流不了，但我了解不是这样，说是视频作好发给你们，我提前一天发给你们运营，第二天你们运营开完会就11点，才给上传，说要公司审核，一直审到晚上六点，最后说视频不合格让我们重作，我就想问你们专业吗你们运营说是会提前审，到底怎么审的，而且你们公司审核视频要这么久吗，请问如果客户哪个还敢找你们作推广，本来三个视频分早上8点，中午12点，晚上18点发最后没有一个流量池敢上，说是给我们加精准粉，加的都是什么精准粉，我们是电子行业，给我们加的粉都是，美食博主、70左右的大叔大妈、电影博主、游戏博主、大头娃娃、还有的都是僵尸号，你们专业到哪了，没签合同没交钱什么都是牛B的什么都可以，交了钱什么都不是。你们真是新媒体的老大，牛B的很，骗钱都这么牛B'}","{'username1': '秦官', 'username2': 'Helen Chen', 'username3': 'Khai Sheng Siow', 'username4': '肖贤声', 'username5': 'Marco Touissi', 'username6': '牛海峰'}","{'job_title1': '北斗 - Java软件工程师', 'job_title2': 'Manufactor of Gloves（Gym/tactial/fishing/outdoor/camping/riding/cut proof/water proof/leather gloves), welcome to OEM', 'job_title3': 'I am actively looking for permanent career', 'job_title4': '本人来自普宁广州人，曾就职广石化研究所，2013年暨大EMBA毕业，高级工程师，评审专家，担任超过50项环保类课题研究负责人，独得亚运污废处理科研经费500万元，独自拥有35项发明专利。', 'job_title5': 'independent business developer | Chef de projet Shein', 'job_title6': '阿牛哥咨询管理（深圳）有限公司 - 人力资源管理总监'}"
33,10 months ago," In light of World Mental Health Day, we’d like to share a few of the steps managers at ByteDance take to improve the wellbeing of our global teams.Starting with the actions of individual leaders and extending to large-scale wellness initiatives and employee recognition programs, we strive to create a more healthy and supportive working environment for all.What steps do you take to improve your team’s wellbeing?#ByteDance #WorldMentalHealthDay",491,3,25,"{'comment1': 'Here, I would also like to add that， as a manager, if want to create a healthier and more supportive work environment for employees,  also need to pay attention to communication with employees. On the one hand, master effective communication skills, understand the importance, and learn to use correct methods to solve communication barriers with employees. In addition,  should respect cultural differences and establish a good communication foundation, that is, understand not only our own communication methods, but also the communication methods of employees, and what behaviors and words will affect them. Only through effective communication with employees cannot  only effectively convey tasks and requirements, but also have a good relationship with employees, making them more willing to strive for the common goals of the organization', 'comment2': 'Thanks for sharing', 'comment3': 'The building blocks to building a positive work environment!'}","{'username1': 'yingbo deng', 'username2': 'Moubarak Jamali', 'username3': 'Drake Booker, CDCMP, FMCI'}","{'job_title1': '--', 'job_title2': 'Content Specialist at ByteDance', 'job_title3': 'Data Center Manager at Digital Realty'}"
34,10 months ago," Here's how we celebrated the Mooncake Festival at ByteDance 🥮The spirit of the Mooncake Festival is about reconnecting with and caring for loved ones at a time of year when the moon shines brightest in the sky.  With this in mind, we recently sent mooncake giftboxes to the ByteDancers in Asia and around the world who hold the tradition dear to their hearts. For each region, we took a localized approach to recognize local customs and reduce our ecological footprint.At #ByteDance, our mission to inspire creativity and enrich life starts with the wellbeing of our employees. At a time when many of us are working from home, this was one of numerous company initiatives we've launched to support and show appreciation for those who drive our success!",1,14,10,"{'comment1': ""Bad team. Terrible attendance. Misleading advertising! They don't respond to an email with feedback from the app developer (described in the Play Store itself), they make an offer when I open Facebook and I didn't comply with the promised Iphone11, and I completed it step by step on 08/25, asks to send a message directly on the TikTok site, shipping and still no return. A lot of lack of respect for the user and still makes an offer and I didn't comply with the agreement. There is no SAC and no ombudsman in Brazil. Only means of communication is by email and it doesn't work. I registered the complaint with Procon SP and they did not respond, disrespecting a public agency and a user. Site: consumer.gov , I complained here, and if I could give ZERO in the app I would, so I gave 1 star and reported the occurrence there and + once, being ignored. Kim Farrell #ByteDance"", 'comment2': '中秋节快乐', 'comment3': '中秋快乐! 🥮', 'comment4': 'Why different from Beijing？', 'comment5': 'So great design,I like it.', 'comment6': 'Why you got so many in the box? 😀', 'comment7': '中秋节？过了吧？', 'comment8': 'this looks yummy!', 'comment9': 'hahaha lol, happy mooncake festival', 'comment10': 'So great design, shoot for the moon'}","{'username1': 'Lilian Machado Vechiato', 'username2': '高应智', 'username3': 'Dina Epriansi Kristiana', 'username4': 'Xin Jin', 'username5': '张富世', 'username6': 'Chuang Zhang', 'username7': 'chuck song', 'username8': 'Gabriel Simas', 'username9': 'Jeruel L.', 'username10': 'Moly Sun'}","{'job_title1': 'Profissional do Segmento Financeiro | Gestão Comercial Bancária | Investimentos e Mercado de Capitais | Gestão de Pessoas e Desenvolvimento de Negócios | Programa Advisors de Alta Performance', 'job_title2': '高级工程主管', 'job_title3': 'Executive Media Planner at MediaCom | Full Stack Digital Marketing at RevoU', 'job_title4': 'UX Researcher II at Microsoft', 'job_title5': '风控经理', 'job_title6': 'Tech Lead at ByteDance', 'job_title7': 'Social Media Manager at Tasly天士力控股集团有限公司', 'job_title8': 'Head of Music & Creator Marketing LATAM na TikTok', 'job_title9': 'DeFi 2.0, NFT Launchpad, Automatic Market Market (AMM) Strategists/Evangelists,', 'job_title10': 'Sourcing'}"
35,11 months ago," We're proud to announce that ByteDance Singapore has been certified by Great Place to Work®! 🏆This certification was awarded based on surveys of ByteDancers in Singapore that provided a comprehensive picture of the employee experience.While the past year has been anything but ordinary and many of us are working from home, we've continued to support employees with initiatives like community townhalls, virtual concerts, wellbeing workshops, training sessions, and more. Together, we are fueled by a desire to inspire creativity and enrich lives around the world through cutting-edge technology.Thank you to our ByteDancers in Singapore for earning us this award -- we're just getting started!#ByteDance #Singapore #GPTWcertified",1,21,32,"{'comment1': ""Not only Singapore, ByteDance every office is best, not because of place but because of culture. I am proud that I worked for the world's best IT company."", 'comment2': '+1', 'comment3': 'Inspiring', 'comment4': 'Inspiring', 'comment5': 'Inspiring', 'comment6': 'Hi sir', 'comment7': 'haha funny...we report a hoax but nothing happen, tiktok suck!', 'comment8': ""Can someone help meI provided transcription service for Appen (outsourced by a person who claimed to be an intermediary between the company and us). We worked for three months, but they simply said that the work was over and that we won't be paid because we didn't reach 95% of success.Please can someone give us an opinionThanks in advance"", 'comment9': 'I also want to work here.', 'comment10': 'Inspiring', 'comment11': 'Hello dear tell me that when re open Tik Tok in Pakistan.', 'comment12': 'Way to go !!', 'comment13': 'Congrats to all of us in every ByteDance office :) 🤗', 'comment14': 'Sunayna Kaur', 'comment15': 'Good canteen too :)'}","{'username1': 'Jayesh Solanki', 'username2': 'Monsour Nava', 'username3': 'soumia lamnaouer', 'username4': 'Alan Castelino', 'username5': 'sagar pediredla', 'username6': 'Mohd Afsarullah', 'username7': 'Sunda Man', 'username8': 'Beatriz Santana', 'username9': 'Pooja Sharma', 'username10': 'Arun Lakhani', 'username11': 'Hassan Abbas', 'username12': 'Mohammed ABOUDA', 'username13': 'Natalia Naumova', 'username14': 'Sanveer Singh Bains', 'username15': 'George Yang'}","{'job_title1': 'Senior Operations Associate at ShareChat', 'job_title2': 'Transgender || Non-binary', 'job_title3': 'Content Moderator at Majorel Morocco', 'job_title4': 'Creator | Learner | Input | Activator | Command |', 'job_title5': 'Content operation specialist at Bytedance India', 'job_title6': 'Student at Integral University, Lucknow, Uttar Pradesh', 'job_title7': 'Co-Founder at bisnisfair.com', 'job_title8': 'Atendente geral na The AES Corporation', 'job_title9': 'Attended A.S.college of Education, kalal Majra,khanna', 'job_title10': 'Executive Director at Lcs Enterprises', 'job_title11': 'Attended UET Rasul', 'job_title12': 'Partner Operations Manager of Trust and Safety at ByteDance/Tiktok', 'job_title13': 'Now responsible 4 apps advertisers @TikTok', 'job_title14': 'IT Analyst', 'job_title15': 'Partner at Capital 49'}"
36,11 months ago," Say hello to Music Library Analyst and Harry Potter enthusiast Marina Anderi!One of the earliest members of our Resso team in Sao Paulo, Marina focuses on improving the technology that helps users find their favorite music.""When I joined the team, Resso was still in development and there was an exciting learning curve,"" Marina says. ""Despite being in my first job, I had the space to figure out my strengths and passions, then define my own role to match!""Outside of work, Marina is a long-time volunteer at Potterish, the biggest Harry Potter fansite in Latin America. She loves to create content and podcasts for her community, and was even invited to Universal Studios in Florida to cover the launch of a Hagrid rollercoaster in 2019.""I started reading Harry Potter when I was 12 years old and it's been a passion ever since. Being an avid consumer of media also helps add perspective to my work at ByteDance, where I'm always trying to connect my personal experience with what a user might want in their music.""Whether she's at Hogwarts or the office, Marina shows us what it means to bring real energy and creativity to everything we do. This is what life at #ByteDance is all about!",331,9,4,"{'comment1': 'Welcome to the family Marina. Hope to see you one day in Malaysia, from a fellow Malaysia Bytedancer💙', 'comment2': 'Thank you, Shereen! I’d really love to go to Malaysia, for sure!', 'comment3': 'arrasouuu Marina Anderi 💚', 'comment4': 'Hi Marina Anderi ~', 'comment5': '❤️❤️❤️', 'comment6': 'A fellow Potterhead!!! 💛', 'comment7': 'Yeaaaaah!'}","{'username1': 'Shereen Teoh', 'username2': 'Marina Anderi', 'username3': 'Diego Meleiro', 'username4': 'Nur K.', 'username5': 'João Cabral', 'username6': 'Jamie Lim', 'username7': 'Marina Anderi'}","{'job_title1': 'Quality Assurance | ByteDance (TikTok) | Trust & Safety', 'job_title2': 'Social Media/Community Management | Music Operations | Product Development | Video Editor', 'job_title3': 'Artist Relations Specialist - SoundOn na ByteDance', 'job_title4': 'Author | Editor | Proofreader | Creative Writer | Journalist', 'job_title5': 'Music Promotion Expert at ByteDance', 'job_title6': 'Educational Content Creator | Manager, Early Careers', 'job_title7': 'Social Media/Community Management | Music Operations | Product Development | Video Editor'}"
37,11 months ago," What is the world like in the eyes of those with developmental disabilities? Our User Experience Design team in China recently welcomed a group of young people with developmental disabilities to a painting workshop. Full of expression and creativity, the event inspired our designers to use their expertise and adapt the group's paintings into professional graphic designs.The #ByteDance mission is to inspire creativity and enrich life, and we're always proud to highlight the creativity we find in the communities around us!",503,1,5,{},{},{}
38,11 months ago," It's official: our 2022 Campus Recruitment is now LIVE! Click here to see how you can start your career at ByteDance: https://lnkd.in/gyQ3G7TVAt ByteDance, interns don't just push paper; they build technology and lead projects that fuel the growth of our products and user community around the world.If you're a student or recent graduate who's eager to reach new heights by challenging yourself, we'd love to meet you. Openings will be filled on a rolling basis, so apply early!#ByteDance #students #internships #campusrecruitment",304,9,33,"{'comment1': 'Great 👍', 'comment2': 'Please have your team reactivate my account @momlife.fyza I have a serious cyber bullying and harassment issue with a troll mass reporting and harassing me and my personal life a police report has been made as well. Your platform is banning all accounts I make with violations that are restored immediately after appeals. I have been patient with waiting for response but I’m being left with no choice in the past 3 months I lost 4 accounts with my main at 1.5 million with no explanation or more info other than community guidelines which is unfair because I have sent examples of so many people doing the same niche videos and I have MOMLIFE content please don’t let the trolls win and return my account. My supporters watching this new account go down are wanting to go to media and do petitions and get every other platforms attention on this and I don’t want to have to do any of that but am being left with no other option. Please help restore all my account immediately thanks I need help and restore my accounts please I have spent over $10,000 in building my accounts with gifts and livestreams it’s completely NOT fair.', 'comment3': 'Is there any sde opening for new grad in U.S so far?', 'comment4': 'Oh, really? could you provide the specific link? cuz I just saw the sde opening based on Singapore! Really appreciate!', 'comment5': 'Great opportunity', 'comment6': 'Samrat Bhardwaj', 'comment7': 'Thankyou sir ', 'comment8': 'Pak Agus Rusli Thamrin , something for your daughter to look af in near future', 'comment9': 'kindly send details on akshay@sjcem.edu.in'}","{'username1': 'Wu JunLin', 'username2': 'Fyza (Siddiqui) Khawer', 'username3': 'Hui Su', 'username4': 'Hui Su', 'username5': 'chuck song', 'username6': 'Utkarsh sharma', 'username7': 'Samrat Bhardwaj', 'username8': 'Zulfan Hifzurrohman', 'username9': 'Akshay Rele'}","{'job_title1': 'TikTok Singapore is hiring, check my post to get internal referral opportunity!', 'job_title2': 'Foreclosure at LoanCare', 'job_title3': 'Software Engineer && Product Manager |Student Ambassador at Microsoft｜Women in technology | GHC2020| CS Master Student at University of California, Riverside', 'job_title4': 'Software Engineer && Product Manager |Student Ambassador at Microsoft｜Women in technology | GHC2020| CS Master Student at University of California, Riverside', 'job_title5': 'Social Media Manager at Tasly天士力控股集团有限公司', 'job_title6': 'Backend Engineer at Apple(Infosys) || Live Life and Automate', 'job_title7': 'SWE @ Atlassian || Ex @ Amazon || Mentor at pepcoding || Expert(1640) on CodeForces || 4 🌟 on Codechef || 4 🌟 on leetcode', 'job_title8': 'Head of Corp IT at Moladin', 'job_title9': 'Corporate Relations | Training And Placements | Delivery Management | Client Success | Business Dev.'}"
