,date,year exp,score,pros,cons,position
198,2022-07-14,Current Employee,4.0,Many areas for you to choose,long working time and heavy workload,C++ Engineer
199,2022-08-05,"Former Employee, more than 1 year",1.0,"The only pros, leaving the company and having TikTok on the CV","Terrible high management, terrible retention, worst communication ever, sad employers, improvised people.",Community Content Management Specialist
200,2022-07-13,"Current Employee, more than 3 years",3.0,satisfying payment for each employee,workload being unbearable and works very late,Strategy Analyst
201,2022-06-28,"Former Employee, less than 1 year",5.0,energetic working environment， flat management， incentive,Work is very fast-paced and this can lead to a lot of stress， long working hours，,Human Resources
202,2022-07-11,"Current Employee, more than 3 years",2.0,Good Perquisites and work-life balance is there at 6 PM exact you can stop working and go home.,"For 8 hours you have to work continuously, (You can not even breathe if you are working). If you are even 1 minute late then it will affect your salary. If you take sick leave for more than 1 day then it will impact your salary. It is basically like a jail where everyone has to follow the rule strictly or else they will be punished. , , IN SHORT - INDIAN MANAGEMENT IS THE WORST.",Content Moderator
203,2022-07-12,"Current Employee, more than 1 year",4.0,"Good working environment , Employee centric",Less authority work is given,Content Creator/Manager
204,2022-07-12,"Former Employee, less than 1 year",2.0,Provide three meals a day,The working system is 996,Software Development Engineer (SDE)
205,2022-07-09,"Current Employee, more than 1 year",4.0,The work culture is very positive,There's no minimum hike for tenure.,Content Specialist
206,2022-06-25,Current Employee,5.0,Good benefits and leave provided,Location is quiet far from home,Customer Service
207,2022-07-08,Current Employee,4.0,"I enjoy working here. The culture is great and the colleague is very helpful. My bosses is a good listener and they taking your opinion into consideration. The most important part, the encourage you to grow with the company.","They should have develop only one culture across all ByteDance, no matter where are the region you're coming from and they should allow inter region transfer so each ByteDance will gain experience and benefits the company more.",Quality Assurance Analyst
208,2022-06-22,Current Employee,5.0,Helpful colleagues and nice perks and benefits,Lack of processes and collaboration cross department can be a mess,Anonymous Employee
209,2022-06-21,Former Employee,5.0,"High salary, Lots of opportunity, Big name","severe overtime, intense environment, push mentor",HR-officer
210,2022-07-05,"Former Employee, less than 1 year",4.0,"- lovely environment , - very hardworking, - well paid","- overly concerned with performance, - performance determines everything",Quality Assurance
211,2022-07-05,"Current Employee, more than 3 years",3.0,"good platform, nice tech-stack, high space work way for you to grow",there is totally no WLB,Machine Learning Engineer
212,2022-06-20,Current Employee,5.0,"high bonus was included, also with benifits","high stress, often need to work overtime",User Acquisition Manager
213,2022-06-20,Current Employee,5.0,A great place to work,"nothing, everything is great so far",Content Moderator
214,2022-07-05,"Former Employee, more than 8 years",4.0,"Ownership, always one day, Keep learning","Very long working hours,  a lot of pressure",Advanced Operations Specialist
215,2022-07-04,"Current Employee, more than 1 year",3.0,There are many general contracting,Working hours are too long,Frontend Developer
216,2022-07-05,Current Employee,3.0,"1. High salaries, at least in my region., 2. Plenty of already established platforms and procedures you can get use of.","1. Too much working time without paying in week days., 2. Programs being switched and dumped faster than you can imagine.",Quality Assurance
217,2022-06-20,"Current Employee, more than 1 year",5.0,"Friendly managers/leaders/colleagues, lots of benefits and allowances. Managers and leaders are always ready to help or guide you. Training was great as well! Career growth are depending on your performances every month.",Management keep changing KPI flow within the time span of 3 months.,Content Moderator
218,2022-07-04,"Current Employee, more than 5 years",2.0,I might say something like competitive salary.,Employees here are pretty young and don't have much experience.,Lead Software Engineer
219,2022-07-02,Former Employee,4.0,"Bad wlb, helpful team member.",The same as pros a.,Software Engineer
220,2022-07-23,Current Employee,1.0,Nothing I know after working in this company for long,"Worst company ever, very toxic culture less benefits",Product Manager
221,2022-06-16,"Current Employee, more than 1 year",5.0,"Get alot of gifts for every celebration, achievement, and event., , Great salary., , No race discrimination.",Easy job but currently they made it hard but making KPI hard to achieve. They did mass hiring while MCO nearly 4K people. and now trying to get rid of us by making KPI harder to achieve.,
222,2022-06-30,Former Employee,4.0,core value，lark is very good,psychological safety of the manager and employee,Senior Consultant
223,2022-06-30,Current Employee,4.0,You will have rapid development with companey,Long working hours and high pressure,Anonymous Employee
224,2022-06-28,Current Employee,3.0,Work live balance. Challenging work.,Don't like culture very much.,Staff Software Engineer
225,2022-06-29,"Former Employee, less than 1 year",4.0,"Basically working for Tiktok, so the atmosphere is dynamic, inclusive; , International scope;, Chances to interact with very experienced, insightful people","Since I interned in China, sometimes you have to work overtime;",HRBP Intern
226,2022-06-08,Current Employee,5.0,Very dynamic work place with lots of benefits. Salary is well compensated for the amount of work required.,Maybe will be stuck in the same position for a long time since they have to many openings and you will be unable to decide where to go next.,Social Media Content Moderator
227,2022-06-14,Former Employee,5.0,"There are very good benefits, salary, breakfast, lunch, dinner and afternoon tea, and the staff is very well taken care of. The atmosphere is very good, the hierarchy is not obvious and everyone is very friendly.",A relatively fast-paced job that requires learning new things quickly and taking on new projects,Quality Strategy Specialist
228,2022-06-28,"Current Employee, more than 3 years",4.0,"good salary, world level platform with challenging problems","It's too busy, usually work overtime",Software Engineer
229,2022-06-28,"Former Employee, less than 1 year",3.0,"good food, nice atmosphere, friendly team","Long hours of work, very bad gym, sometime toxic work environment",Intern
230,2022-06-28,"Former Employee, less than 1 year",3.0,"- Pay well, - Pay well, - Pay well","- Feel depressed in working, - No room to grow, - Leader is not supportive, - Overtime work",User Experience Designer
231,2022-06-24,"Current Employee, more than 1 year",4.0,"- competitive pay, - autonomy , - ability to make an impact on the product","- hard to move up unless you are bilingual, - late night meetings with colleagues in China",Software Engineer
232,2022-06-12,Former Employee,5.0,high salary. free food. free taxi.,woring time is too long.,Anonymous Employee
233,2022-06-13,"Current Employee, less than 1 year",5.0,"- benefit , - lots of opportunities & backend access for you to do some full analysis , - work closely with other departments around the world",the time needed a day to finish all tasks might be really consuming,Account Manager
234,2022-06-27,"Former Employee, more than 1 year",4.0,best firm to work for,none I observed during my time,Client Solutions Executive
235,2022-06-25,Current Employee,4.0,"challenging tasks, excellent people around","stressed working environment, none then",Human Resources
236,2022-06-06,"Current Employee, more than 1 year",5.0,"high comp, beats FAANG. work is interesting as well. more scale than american companies.","Tough WLB, but similar to FB / Uber. Never experienced 996.",Anonymous Employee
237,2022-06-22,Current Employee,4.0,"Decent benefits, loads of gift packs and swags","Young management, global operations not fully aligned",Team Leader
238,2022-06-07,"Current Employee, more than 3 years",5.0,A lot of challenges at work and good for people's growth. People are solid and smart. Great to work with.,Workload can be very much sometimes,Human Resources Business Partner HRBP
239,2022-06-07,"Current Employee, less than 1 year",5.0,"If you are looking for a competitive and fast-paces working environment, here is definitely the best you can ever found. Other than competitive remuneration package, the culture, colleagues and everything is just as good as it is","can't think of any cons,",Risk Investigation Specialist
240,2022-06-06,Current Employee,5.0,managing well and doing best,nothing is wrong and worklife also good,Senior Quality Analyst
241,2022-06-20,"Current Employee, more than 3 years",4.0,"Always Day 1, Start up mind, Listening to people idea","No career growth, complex of department collaborations",Marketing Manager
242,2022-06-21,"Former Employee, more than 1 year",4.0,freedom to do your expertise,too much workload and meetings to distract you,Senior Software Engineer
243,2022-06-05,"Current Employee, more than 1 year",5.0,"fast pace, gain fast, good mentor","Too busy, long working hours",Data Analyst
244,2022-06-05,"Current Employee, less than 1 year",5.0,Always Day 1， Full of challenge,The path is too fast， You must be a quick learner or you'll be eliminated at last.,Content Operations
245,2022-06-05,Current Employee,5.0,"1. Good salary, 2. Flexible working time, 3. Opportunities to learn",1. A little bit busy,Anonymous Employee
246,2022-06-06,"Current Employee, more than 5 years",5.0,quick and everyone is passion about the impact,you need to be open minded and be quick for the changes,Anonymous Employee
247,2022-06-19,"Current Employee, more than 3 years",4.0,"- great company culture compared to other Chinese company, - international, - competitive salary","- no work-life balance, - grows too fast, huge variance of employers' quality",Machine Learning Engineer
248,2022-06-03,Current Employee,5.0,anyone can talk to anyone in the company. Employee lvl is not disclosed,A lot meetings during night,Software Engineer
249,2022-06-13,Current Employee,4.0,"1. high salary, 2. colleagues are excellent","1. high pressure, 2. long working hours",Software Engineer
250,2022-06-16,Current Employee,3.0,Learn fast and involved in lots of projects,"Poor WLB, late night meetings",SRE/DevOps Engineer
251,2022-06-17,Former Employee,3.0,"Aggressive growth of the business, thus plenty of opportunities to get exposed to new fields, ",often have to stay up until the late-night hours to get things done.,Product Monetization Manager
252,2022-06-01,Current Employee,5.0,great experience in human resources,too many shifts and work hours,Management Trainee
253,2022-06-02,"Current Employee, more than 3 years",5.0,"Gained knowledge in professionalism, Wider career growth , Supportive leads , Good salary start for fresh grads , WFH","Competitive , Need to be a fast leaner , Workloads after working hour , 24/7 availability , Too many policies",Content Moderator
254,2022-05-31,Current Employee,5.0,"- Diverse & Healthy Culture, - Huge Opportunity for Growth, - Active & empathetic leadership, - Fast moving with a place to make an impact!","ByteDance name isn't as well known as Google or Facebook in the US, but it will get there!",Regional Vice President
255,2022-06-14,"Current Employee, more than 1 year",2.0,scope is way more bigggerrr,wlb is worst and chaos in mngt,Anonymous Employee
256,2022-06-14,Current Employee,4.0,"* talented people , * high-growth environment with opportunities","* pressure from the OKR in a two-month basis, * overwork sometimes",Business Development
257,2022-06-13,"Current Employee, more than 5 years",4.0,"competitive pay, impact to make. protential of growth.",Too many new biz in bytedance. most of them will die.,Senior Software Engineer
258,2022-06-14,"Former Employee, less than 1 year",4.0,"Good environment of workmates., Nice meal everyday.",Cannot have work life balance.,Bartender
259,2022-06-13,"Current Employee, more than 3 years",3.0,"salary, opportunities, values, compensations, benefits","work life balance, long time of work",Senior Software Engineer
260,2022-05-30,Current Employee,5.0,"Bytedance has some really talented people. Work is never boring and it opens a lot opportunities to learn. , , Decent pay and benefits",International meeting will be expected. WLB is ok though,Anonymous Employee
261,2022-05-30,"Current Employee, less than 1 year",5.0,The technology in everyday use is cutting edge,The pace of work is fast,Anonymous Employee
262,2022-06-12,"Current Employee, more than 1 year",4.0,"Time management , Salary , Bonus twice a year","Increment , Hr now like bpo, Kpi too bad",Quality Assurance
263,2022-06-13,Former Employee,4.0,"lovely work and coworkers, enjoy the best moment",lack of mentor and experience,UX Designer
264,2022-06-11,"Current Employee, more than 3 years",4.0,You'll experience the greatest personal and professional advancement of your career here if you go in with the right mindset.,"It's not for everyone, and that's okay.",Team Lead
265,2022-06-11,Current Employee,3.0,"Work with young people, with high creativity",There is no balance between work and life,Strategy Analyst
266,2022-06-09,Current Employee,4.0,Very good for my career,nothing for more，need time to try,Recruiter
267,2022-05-25,Current Employee,5.0,"afternoon tea, great company culture with colleagues and employer, everyone is treated as friends even with your boss","overtime working everyday, stressful deadline and KPIs",Recruiter
268,2022-05-25,"Current Employee, less than 1 year",5.0,"No guidance is required, we can just explore the internal system on our own. The internal system is well organized and will be fun to explore. , The company's internal communication board can be used if an individual or team needs assistance. , Using the in-house build systems is very easy, and there is no need to wait for the other party to reply, since the system provides instructions to ease our task.",You will have a hard time performing your daily tasks if you're not tech savvy.,Talent Acquisition Partner
269,2022-05-25,"Current Employee, less than 1 year",5.0,Culture benefit insurance life balance,workload and nothing more to share,Account Manager
270,2022-05-26,"Current Employee, more than 1 year",5.0,"Extremely warm work culture, no toxicity. Peers are extremely understanding. Great work which is challenging as well and keeps you on toes. Most important is the autonomy that we get to work. You have a free hand in demanding whatever you want from the management to improve the business. Proactiveness is very highly appreciated in the company. Feedbacks are taken extremely seriously. They will not shy behind in giving you big responsibilities and will let you make mistakes as well. Most importantly they ll help you learn and grow",pay disparities in the same team sometimes leads to dissatisfaction however nothing other than that. Probably one of the best companies in India to work.,Key Account Manager (KAM)
271,2022-06-08,"Former Employee, more than 1 year",4.0,Great learning place and environment,Not much cons here to mention,Advertising Manager
272,2022-06-08,Current Employee,4.0,great space to learn about all sorts of efforts in detecting risky content in various forms. Learning platform,"Constant reorg, a lot of job overlaps so unclear about product feature launching and RACI.",Product Manager
273,2022-06-30,Current Employee,1.0,you can grow very fast.,there is no work life balance.,Software Engineering
274,2022-06-08,Current Employee,4.0,lots of potential，young and energetic company,work life balance is not that good,Strategy Director
275,2022-05-23,"Current Employee, less than 1 year",5.0,great office environment with free lunch & dinner and gym. People there are friendly,not much guidance or training when I firstly joined the firm,Data Analyst
276,2022-06-06,"Current Employee, more than 3 years",4.0,"Great experience here that makes you feel you could change the world, with lots of challenges and chances","TOOOOOO MUCH working hours, very stressful, Yiming did a better CEO than Rubo",Senior Product Manager
277,2022-06-06,"Current Employee, more than 3 years",4.0,"Good place to learn , Lot of benefits","I feel diversity has to improve, Slow career growth",Specialist
278,2022-06-06,"Current Employee, more than 1 year",4.0,"1. Growth opportunities: has opportunities & supports to apply the individual's ideas., 2. Trust in youth: is willing to give trust and opportunities to youth, the working years/experiences are not the most important here.",1. overloaded: no time for life,Human Resources Business Partner HRBP
279,2022-05-22,Current Employee,5.0,Nice company and nice people over there,People are too convolution in this company,Backend Developer
280,2022-06-05,"Former Employee, less than 1 year",4.0,enthusiastic working environment and challenging work content,projects often is inconsistent with cange of leaderships,Education Product Manager
281,2022-05-21,"Current Employee, less than 1 year",5.0,"They care about their employees. Work pressure is moderate. Very comfortable place to work. They have a lot of employee benefit like Insurance, Eyecare, teeth care, multiple leaves, IT support, Self Development support and many more.",There is nothing like this here.,Sampling Quality Assurance
282,2022-06-03,Current Employee,3.0,It provide three meals for free.,A little bit tired at this company,Frontend Engineer
283,2022-05-31,"Former Employee, more than 3 years",4.0,"fast-paced, impactful work, good resources (data, machines), can work on new technologies","management is not very good, could harm junior engineers' growth",Algorithm Engineer
284,2022-05-16,Current Employee,5.0,"excellent tools, self-driving mindset, nice people",workload high but worth it,HR Business Partner
285,2022-05-31,Current Employee,4.0,good good good good good,na na na na na,Senior Product Manager
286,2022-05-31,Current Employee,4.0,make a lot of cny,tired because of the buzzing call,Senior Software Engineer
287,2022-05-15,Former Employee,5.0,creative insight into Web platform and social media,help customers to operate their social media,Sales Manager
288,2022-05-16,"Current Employee, more than 1 year",5.0,They Have a Very friendly workplace,Nothing as such I found,Content Moderator
289,2022-05-29,Current Employee,4.0,Colleagues are mostly bright and friendly,Team leads are too young sometimes and can't offer good mentorship after a while,Anonymous Employee
290,2022-05-29,Current Employee,3.0,"plenty of opportunities, but competitions as well. Need to face challenge every single day","not good for WLB, from 10am to 10pm, 5.5 days.",Ecommerce
291,2022-05-29,Current Employee,4.0,Salary is good for Malaysia and good management,Expect high amount of workload,Project QA
292,2022-05-13,"Current Employee, more than 8 years",5.0,Global environmental that makes you learn very fast and more opportunities to grow.,Nothing to complain about it,Creator Partnerships
293,2022-05-28,"Current Employee, less than 1 year",4.0,"Good company culture, Learned a lot",Long working hours (overtime every working day),Creator Partnerships
294,2022-05-27,Former Employee,4.0,"Excellent technical infrastructure, excellent employee benefits","Busy most of the time, aggressive style",Front End Developer
295,2022-05-11,"Current Employee, more than 1 year",5.0,"Culture is the best in class, Ad tech Product is superior, Learning modules are great, Great work life balance",Ban in India is a challenge,Client Solutions Manager
296,2022-05-11,Current Employee,5.0,flat management is a good enviroment,"challenging  tasks work overtime sometimes, not good for people over 35",Marketing Manager
297,2022-05-11,Former Employee,5.0,comfortable working environment; Three meals a day with countless snacks;  able to WFH,heavy working load; small groups exist,Product Manager
298,2022-05-12,"Current Employee, more than 3 years",5.0,Best pay Traning providedMeal provided,Management changing Kpi and pro ess,Social Media Content Moderator
299,2022-05-25,"Current Employee, more than 1 year",4.0,Employee benefits are good enough,The KPI and working pressure,Content Moderator
300,2022-05-26,"Current Employee, less than 1 year",4.0,"Employees respect each other., Flexible working system is good.",There is not any downside of Bytedance need to share.,Anonymous Employee
301,2022-05-20,"Current Employee, less than 1 year",4.0,"-Projects are interesting and fast-paced. You will learn a lot working here., -High expectations for senior engineers, you will have lots of opportunities to push your career., -Friendly coworkers, team culture seems pretty good. My team is very accommodating for me who doesn't speak Chinese and changes the primarily used language to English for a lot of projects that I am involved in., -Lots of tools to get past the language barrier (Also see cons)., -Good compensation, -Good benefits, -Great onboarding process and internal tools.","-Even if you work in a primarily English-speaking team, a lot of core documentations are written in Chinese. Even with pretty good translation tools, it can be daunting at first., -Need to have flexible work hours if your team works closely with teams based in China. Could have lots of meetings in the evenings., -Mountain View office is not well developed currently., -Uncertain IPO",Senior Software Engineer
302,2022-05-25,"Former Employee, less than 1 year",3.0,"colleagues are pretty nice, I really like working environment.",my leader always changed KPI standard,Operation Assistant
303,2022-05-24,Current Employee,4.0,"- Fast and huge impact on product., - Flexible schemes to solve the  problem, - Well paid","- Lack of growth guideline, - Lack of normalized develop process",Machine Learning Engineer
304,2022-05-09,Former Employee,5.0,Good warefare and wonderfuk team leaders,The salary is very low,Content Operations Specialist
305,2022-05-24,"Current Employee, less than 1 year",2.0,can join projects from day 1,"long working hours, expect you to work for long hours",Content Operation
306,2022-05-22,"Current Employee, more than 1 year",4.0,Good and nice. Friendly and healthy.,nothing to bring to attention,Customer Operations Specialist
307,2022-05-21,Former Employee,4.0,"flexibility, easy to promotion, great atmosphere for teamwork","always some take home works, no work life balance",Anonymous Employee
308,2022-05-06,Former Employee,5.0,"nice pay and colleagues, good",a little busy and inefficient,Product Manager
309,2022-05-20,Current Employee,4.0,good to be in a global company,"lost in many employees, hard to make a differences",Community Content Specialist
310,2022-05-21,Current Employee,4.0,The pay is reasonably good,It's difficult to maintain a  work life balance,Interpreter/Translator
311,2022-05-05,Former Employee,5.0,Have a mentor to help me along the way,Sometimes need to work overtime,Anonymous Employee
312,2022-05-19,"Current Employee, less than 1 year",4.0,high salary a a a,too many workload and poor working environment,Data Analyst
313,2022-05-19,"Former Employee, more than 1 year",4.0,Decent salary; Regular half-year review,No clear career path; content of work may be changed periodically,Anonymous Employee
314,2022-05-20,"Former Employee, more than 3 years",2.0,Lots of benefits and good place to gain new knowledge and develop new skills,"- Toxic leadership, - Last minute changes, - Less transparency and empathy, - Keeping worst employees and let the best one resign",Anonymous Employee
315,2022-05-04,Current Employee,5.0,You will meet smart colleagues.,Too much presure for some people.,Anonymous Employee
316,2022-06-09,"Current Employee, less than 1 year",1.0,Not bad salary for new people,Not good work life balance,Software Developer
317,2022-05-18,"Current Employee, less than 1 year",3.0,"The company is growing Fast, The people are kind to work with","Terrible Work Life Balance, Not much career growth",Human Resources Generalist
318,2022-05-17,Current Employee,4.0,"Company growing fast, many new projects to work on.",WLB is not as good as most other tech. Sometimes need to meeting with Chinese team at night.,Software Development Engineer
319,2022-05-01,"Former Employee, less than 1 year",5.0,Employee benefits are tremendous. Very support organization and management.,None at all. Great place,Manager Ad Sales
320,2022-05-05,"Current Employee, more than 3 years",4.0,A lot of benefits and festivities goodies. AL can carry forward. YTD I have 29.5 AL that can be utilized this year.,"Salary range is veryyyyyyyyyy vague. And no yearly increment or adjustment based on inflation rate. I got a good performance review on previous cycles which supposedly can have a jump in job level, but because my previous TL did not propose for a job pevel adjustment, I’m staying at the bottom (my moderatos even have better job level than me and obviously better package lol)",Subject Matter Expert
321,2022-05-13,"Current Employee, more than 1 year",4.0,Good working environment because been wfh since 2020,No increment have to work hard for that,Quality Assurance Analyst
322,2022-05-13,"Current Employee, more than 1 year",4.0,Food travel medical and transporf,Managemt kpi changing policy updates everyday,Content Moderator
323,2022-05-12,"Current Employee, more than 5 years",4.0,Good team collaboration - We always ready to support each other. They also welcome when I have any suggestion.,"Not so good for work-life balance - We push so hard for the best of our job. Sometimes, it is kind of pressure. However, it is okay if we are good at time management.",Content Quality Specialist
324,2022-05-12,Current Employee,4.0,"1. Many talented coworkers, 2. Good employee welfare, 3. Not bad salary pay",1. Long time to work.,Software Engineer
325,2022-05-11,"Current Employee, more than 1 year",4.0,very nice and good environment,all good. must achieve KPI to get more benefits,Content Moderator
326,2022-05-11,Current Employee,4.0,"- Non toxic work environment, - Diverse workforce, - Competitive salary","- limited skills learned due to content moderation being a niche market, - new company so expect many changes to happen",Content Moderator
327,2022-05-11,"Current Employee, more than 1 year",3.0,good benefits and working environment,bad management and leadership style,Specialist
328,2022-04-26,"Current Employee, less than 1 year",5.0,"- positive colleagues, - fun activation",so far so good. fun office,Creator Growth Manager
329,2022-05-10,Current Employee,4.0,"great company system, good for future development","bad work-life balance, limited employee interaction across different departments",Asset Management
330,2022-06-01,Current Employee,1.0,"High volume of simple work, no particular skills to grow, not worth working for.",The company should ROI of each employee,Quality Assurance
331,2022-05-11,"Former Employee, less than 1 year",2.0,"Free food and drink, snacks","The workload is very very heavy, 996, don't come",Senior Software Engineer
332,2022-05-09,"Current Employee, more than 3 years",4.0,"1. Fast paced, 2. Global team, 3. Positive culture, 4. Able to grow career globally","1. Less transparency in determining compensation package, 2. Competency is rewarded by salary adjustment, high performance is rewarded by bonus. If team member joins with higher salary, but performs the baseline, high likelihood team member can enjoy higher total pay than team member with less salary but performing well, 3. Burnout easily masked in a fast paced environment, 4. Some 'central' team members still having difficulties in language, communication breakdown happens",Team Leader
333,2022-05-08,"Current Employee, more than 1 year",4.0,"Salary is very good, and the management is efficient","Very bad hours, too mush pressure",Programmer Analyst
334,2022-05-05,Current Employee,4.0,"Tiktok related. If you are a tiktok lover or enjoy international working culture, you can come here.","Chinese working culture, east to work over time.",Data Analyst
335,2022-04-23,Current Employee,5.0,"Nice work environment, good pay",None for this company so far,Senior Manager
336,2022-04-22,Current Employee,5.0,"High salary, Good benefits and bonuses, a lot of gifts and stress free",Competitive for career progression .,Content Moderator
337,2022-04-22,"Current Employee, less than 1 year",5.0,People are smart & things are fast paced,"Because things are still very new, process changes very frequently",Anonymous Employee
338,2022-04-22,Current Employee,5.0,"open, diversified, free, well-being, competitive",work life balance is not that good,Department Assistant
339,2022-05-06,Former Employee,4.0,colleagues are young and nice,Work time is too long,Software Engineer
340,2022-05-05,Former Employee,4.0,"good salary for student. Good benefit,",very long working hours and stress.,Frontend developer intern
341,2022-05-06,Current Employee,4.0,very good in production sense with AB testing,"individually work, no team collabration",Senior Data Analyst
342,2022-04-20,"Current Employee, more than 3 years",5.0,Good in business selection and payment.,Too much employ in one business line.,Data Analyst
343,2022-04-20,Current Employee,5.0,good company in the world,busy and not so flexible,Analyst
344,2022-04-20,"Former Employee, less than 1 year",5.0,tiktok is a leading company in social-media,"lack of management experience, lots of duplicate work",TPM II
345,2022-05-04,"Current Employee, less than 1 year",4.0,"Paid fairly well,, Employee care is good","work overtime, work pressure is high",Frontend Developer
346,2022-05-03,Former Employee,3.0,High Potential to grow internet industry,"Very unstable business direction, change for no reason",Sales Manager
347,2022-04-19,Current Employee,5.0,Amazing work culture and no politics,Love department work culture is bad...so much buzz call,Content Moderator
348,2022-05-02,"Current Employee, more than 1 year",4.0,"Generally, Bytedance has a great culture, though it more or less depends on what department you are in and who you are working with.","The workload is really heavy here. Usually, you should work literally from 10 AM to 10PM. Considering the long work hours, its salary is uncompetitive.",Software Development Engineer
349,2022-05-02,Current Employee,4.0,you will have an excellent coding practice,working time is too long,Software Engineer
350,2022-05-02,Current Employee,4.0,"Amazing Company to work with., Luring Initial Package","Bad Appraisal process, No Increment after promotion",Anonymous Employee
351,2022-05-02,Former Employee,3.0,"good colleagues , , good location , , anything else to add","company culture, , working hours, , anything else to add",Ops Specialist
352,2022-04-17,"Current Employee, more than 1 year",5.0,"Good salary, diversity, always take care about the employee",if working with the operation get ready to see the sensitive content,Content Moderator
353,2022-04-14,Former Employee,5.0,Working in the comgort of my own home.,Isolation for a long period of time.,Ads Moderation Specialist
354,2022-04-28,"Current Employee, more than 3 years",4.0,"Good salary package, Flexible for SME position , Lots of benefits","Malaysia management being too partial. , No salary range for each position. Don't be surprised if people below you get more salary",Subject Matter Expert (SME)
355,2022-05-20,"Former Employee, less than 1 year",1.0,"Not much good aspect about this company. , good co-workers","Disorganized, no distinct function division, no leadership",Businesses Development Manager
356,2022-04-27,Current Employee,3.0,"Fast-paced still working like a startup for growth, can manage international markets key growth factors with very aggressive budget","Most of things are top down, lacks ability to deep dive on qualitative matters to develop, rather more focused on short-term numbers and metrics leading to not having holistic view of the market and mid term vision",Growth Manager
357,2022-04-28,Current Employee,3.0,"work with outstanding colleagues., great culture",busy and over work load,Human Resources
358,2022-04-12,"Current Employee, more than 1 year",5.0,"culture is the best, they offer all the insuarance and benifits that you can imagin","Super busy, but everyone is nice",Operation Specialist
359,2022-04-12,Former Employee,5.0,neutral neutral neutral neutral neutral,no cons everything is neutral,Strategy Analyst
360,2022-04-12,"Former Employee, more than 1 year",5.0,"lovely work culture, warm people and extremely amazing work experience.",There is nothing negative to say about the organization.,Anonymous Employee
361,2022-04-13,Current Employee,5.0,"Big environments, salary, benefits, pros","No more, just enter this company",Talent Development Specialist
362,2022-04-26,"Current Employee, less than 1 year",4.0,"1. Staff welfare, 2. Competitive salary, 3. Great data platform","1. IPO date is unknown, 2. No camp",Senior Risk Control Specialist
363,2022-04-26,"Current Employee, more than 1 year",3.0,Great working environment and good work life balance,Low salary and low salary increase.,Trust and Safety Specialist
364,2022-04-25,"Current Employee, more than 3 years",4.0,"career advancement, inspiring team, creative work",impossible for work life balance,Content Operations Manager
365,2022-04-25,"Current Employee, more than 1 year",4.0,"Work life balance, Opportunity to grow, Challenging","Low income, Only focuses on the performance",Trust and Safety Specialist
366,2022-04-10,Former Employee,5.0,nice working environment and exposure,"overtime sometimes, it is hard to retent as normal intern",Internship
367,2022-04-24,"Current Employee, more than 1 year",4.0,"Team Support, Work Organisation and Process, Benefits.",Competitiveness where you're being compared on hourly basis for your productivity output.,Content Moderator
368,2022-05-16,"Current Employee, less than 1 year",1.0,Remote working and meal card,Low salary and work hours,Content Editor
369,2022-05-15,Current Employee,1.0,I don't know any so far.,"Stressful and toxic culture, it can hurt you in long run, please avoid this company",Product Manager
370,2022-04-21,Current Employee,3.0,"Good salary, young team and so on","Role and responsibility is not clear, almost no process.",Engineering
371,2022-04-08,"Former Employee, more than 10 years",5.0,"Awsome place to work , it's the best company I have worked with.","No cons , nothing that comes in my mind.",Manager
372,2022-04-07,Former Employee,5.0,"Exposure is good, equal to all level of employees",Working Overtime is a big deal,Analyst
373,2022-04-08,Former Employee,5.0,Work life balance is guaranteed,Too many adhoc tasks but still manageable,Subject Matter Expert
374,2022-05-13,Current Employee,1.0,Nothing apart from the compensation,"Only join if you know Mandarin, Bad WLB",Senior Software Engineer
375,2022-05-13,Current Employee,1.0,Famous company and growing mode,Working 24/7 and weekends expected,HR Director
376,2022-04-06,"Former Employee, less than 1 year",5.0,"vast opportunities to go forward and develop career. not only having your responsibilities, you can take more if you want too. Interesting cases and topics. fabulous team work experiences, team buildings, online\offline bars, games etc","not very high wage, so it was ok only to pay rent. It was a start position, so maybe because of that it was still fine",Content Manager
377,2022-04-20,"Current Employee, more than 3 years",4.0,good company with good benefits,favoritism if u got the wrong leader,Subject Matter Expert (SME)
378,2022-04-20,"Former Employee, more than 1 year",4.0,"- free gifts, - very accomodative when wfh during covid, - diverse environment, - savvy technology, - open culture","- rotational schedule but most of the time it's not, - management always changing, got 6 managers within a year, - kpi always changing",Content Moderator
379,2022-04-17,"Current Employee, more than 1 year",4.0,"1. You'll grow fast due to the growing business, 2. Latest technologies are used, 3. Personal influence is obvious, 4. Young and flat organization","1. Not well organized, so you might do something wrong due to the bad leadership, 2. Culture is not friendly for non-Chinese speakers., 3. Work at night.",Research Engineer
380,2022-04-20,"Former Employee, less than 1 year",3.0,"* Good and talented peers, * Good pay compared with other industries in China","* WLB is non-existent , * Too much pressure, fast-paced",Machine Learning Engineer
381,2022-04-06,"Current Employee, less than 1 year",5.0,"young, energetic, flat management, afternoon tea","hard to get promote, long working hours",Machine Learning Engineer
382,2022-04-05,"Current Employee, less than 1 year",5.0,support from each other and great compensations,i didn't see any cons here,Content Operations Specialist
383,2022-03-31,Current Employee,5.0,Company grows pretty well and pays good,WLB is highly depending on which team you are in,Software Engineer
384,2022-04-17,"Current Employee, more than 1 year",4.0,"Nice team, and equal opportunities.","'996', stressful, stressful, stressful ...",Backend Developer
